Key,ShortKey,Source,Row,Module,Field,Role,CN,RU
AvgDialog_10130_Content_5,adnQ,avg序章_AvgDialog_C_M.csv,21,AvgDialog,Content,拉蒙娜,你的加入可以说是众望所归。不出两天，威廉就要给我们分配<Yellow:灾厄调查任务>了。,Твоего поступления очень ждали. В течение дня или двух Уильям поручит нам <Yellow:расследование бедствия>.
AvgDialog_10130_Content_6,adnR,avg序章_AvgDialog_C_M.csv,22,AvgDialog,Content,拉蒙娜,他可不会饶过你这个百年一遇的守密人。,"Он тебя жалеть не станет, будь ты хоть каким выдающимся Хранителем."
AvgDialog_10130_Content_7,adnS,avg序章_AvgDialog_C_M.csv,23,AvgDialog,Content,拉蒙娜,希望你的@1 外勤课题不像微积分课程一样依赖我这个<Blue:助手>。,"Надеюсь, твоя @1 полевая работа не будет зависеть от меня столь же сильно, как когда я была твоим <Blue:ассистентом> на курсе математического анализа."
AvgDialog_10130_Content_8,adnT,avg序章_AvgDialog_C_M.csv,24,AvgDialog,Content,,没想到会参加自己的葬礼。,"Кто бы мог подумать, что случится побывать на собственных похоронах."
AvgDialog_10130_Content_9,adnU,avg序章_AvgDialog_C_M.csv,25,AvgDialog,Content,拉蒙娜,接纳死亡，让我们不再畏惧死亡。,Принятие смерти позволяет перестать её бояться.
AvgDialog_10130_Content_10,adnz,avg序章_AvgDialog_C_M.csv,26,AvgDialog,Content,拉蒙娜,只要名字还镌刻在碑铭上，我们的存在就不会被@2抹去。,"Пока наши имена выгравированы на надгробии, @2 не сотрёт нас из истории."
AvgDialog_10130_Content_11,adnA,avg序章_AvgDialog_C_M.csv,27,AvgDialog,Content,,温和的声音夹杂着扭曲的嘶鸣在脑海中回荡。,"В твоей голове эхом отзывается нежный голос, мягкий голос, смешивающийся с неестественным шипением."
AvgDialog_10130_Content_12,adnB,avg序章_AvgDialog_C_M.csv,28,AvgDialog,Content,拉蒙娜,我将作为你的助手，陪你抵达这条道路的终点……<Yellow:愿银钥指引前路。>,"Я буду твоей помощницей, буду сопровождать до самого конца пути...<Yellow:Да осветит твой путь Серебряный ключ.>"
AvgDialog_10130_Content_13,adnC,avg序章_AvgDialog_C_M.csv,29,AvgDialog,Content,拉蒙娜,"还好吗，%player%？
从刚才开始，你的脸色就不太对劲。需要我送你去医务室吗？","Ты как, %player%?\nВыглядишь неважно. Может, отвести тебя в лазарет?"
AvgDialog_10130_Content_14,adnD,avg序章_AvgDialog_C_M.csv,30,AvgDialog,Content,,她清冽的声音让头脑清晰了些许，眩晕的感觉也逐渐消退。,"Её чёткая речь немного проясняет твой разум, и головокружение постепенно сходит на нет."
AvgDialog_10130_Content_15,adnE,avg序章_AvgDialog_C_M.csv,31,AvgDialog,Content,玩家,没事，只是一点头晕，已经缓解了。,"Не волнуйся, просто немного закружилась голова, сейчас пройдёт."
AvgDialog_10130_Content_16,adnF,avg序章_AvgDialog_C_M.csv,32,AvgDialog,Content,拉蒙娜,"唔，保险起见，还是和我链接吧。
作为助手，也作为你的搭档，时刻确认你的状态可是我的责任。","Тогда давай на всякий случай установим связь.\nКак твоя помощница и напарница, я обязана следить за твоим здоровьем."
AvgDialog_10130_Content_17,adnG,avg序章_AvgDialog_C_M.csv,33,AvgDialog,Content,玩家,现在？就在这里？,Сейчас? Прямо здесь?
AvgDialog_10130_Content_18,adnH,avg序章_AvgDialog_C_M.csv,34,AvgDialog,Content,拉蒙娜,稍微提前了一点点，不过没关系，不是吗？,"Немного рановато, но ничего страшного, верно?"
AvgDialog_10130_Content_19,adnI,avg序章_AvgDialog_C_M.csv,35,AvgDialog,Content,拉蒙娜,从一年前开始，我就在期待今天了。,Я с нетерпением ждала этого дня весь прошлый год.
AvgDialog_10130_Content_21,adnL,avg序章_AvgDialog_C_M.csv,37,AvgDialog,Content,,细雨将指尖濡湿，微弱的电流穿透手套，顺着你的皮肤和她的指尖隐秘流淌。,"Мелкие капли дождя промачивают ткань перчаток. Слабый разряд пробегает по материалу, незримо скользя между твоей кожей и её пальцами."
AvgDialog_10130_Content_22,adnM,avg序章_AvgDialog_C_M.csv,38,AvgDialog,Content,,莫名的情绪顺着电流触动了你的神经，那是欣喜、雀跃、不安和……,"Следом за импульсом, по твоим нервом прокатываются необъяснимые чувства – радость, трепет, тревога и…"
AvgDialog_10130_Content_23,adnN,avg序章_AvgDialog_C_M.csv,39,AvgDialog,Content,,……<Yellow:希望>。,…<Yellow:надежда>.
AvgDialog_10127_Content_1,adnf,avg序章_AvgDialog_C_M.csv,40,AvgDialog,Content,拉蒙娜,多么温暖……精神链接非常稳定，你的精神与生命力从未如今天一般强韧。,"Как тепло... Духовная связь очень крепка, а твой дух и жизненная сила никогда ещё не были так сильны, как сегодня."
AvgDialog_10127_Content_2,adng,avg序章_AvgDialog_C_M.csv,41,AvgDialog,Content,拉蒙娜,"你可不能轻易倒下哦，<Yellow:世界唯一>的守密人。
我们还指望靠你来调查和记录所有被融蚀抹消的历史呢。","Тебе нельзя вот так просто падать, <Yellow:единственный в мире> Хранитель. \n Мы надеемся на тебя в расследовании и записи всего стёртого Растворением."
AvgDialog_10127_Content_3,adnh,avg序章_AvgDialog_C_M.csv,42,AvgDialog,Content,,眼底的担忧散去，拉蒙娜半开玩笑地在嘴角勾起一个令人安心的弧度。,"Беспокойство в её взгляде постепенно рассеивается, и Рамона одаривает тебя ободряющей улыбкой."
AvgDialog_10127_Content_4,adni,avg序章_AvgDialog_C_M.csv,43,AvgDialog,Content,,淅沥的雨声填满天地。,Шелест дождя заполняет весь мир.
AvgDialog_10127_Content_5,adnj,avg序章_AvgDialog_C_M.csv,44,AvgDialog,Content,,<Red:不安、疼痛、窒息>却在某滴雨珠落下时，填满了胸口。,"Но падает очередная капля дождя, и <Red:тревога, боль и удушье> охватывают тебя."
AvgDialog_10127_Content_7,adnl,avg序章_AvgDialog_C_M.csv,46,AvgDialog,Content,玩家,拉蒙娜！,Рамона!
AvgDialog_10127_Content_9,adnn,avg序章_AvgDialog_C_M.csv,48,AvgDialog,Content,,钟声鸣响。,Раздаётся звон колокола.
AvgDialog_10139_Content_1,adpG,avg序章_AvgDialog_C_M.csv,49,AvgDialog,Content,拉蒙娜战损版,"谢谢你，守密人，你又救了我一次。
如果不是这链接，我现在大概命悬一线了。","Благодарю, Хранитель, ты снова {Male=спас,Female=спасла} меня.\nБез этой связи я бы сейчас, наверное, была на волосок от смерти."
AvgDialog_10139_Content_2,adpH,avg序章_AvgDialog_C_M.csv,50,AvgDialog,Content,玩家,现在可不是说这些的时候——,Сейчас не до этого—
AvgDialog_10139_Content_3,adpI,avg序章_AvgDialog_C_M.csv,51,AvgDialog,Content,,"交谈间，漆黑的异变已在你们身边蔓延。
惨叫声连绵不绝，昨天课堂上的同学不断化为漆黑黏液。","Пока вы говорите, тёмное нечто уже расползается вокруг.\nБеспрестанно звучат крики: вчерашние одноклассники один за другим превращаются в чёрную слизь."
AvgDialog_10139_Content_4,adpJ,avg序章_AvgDialog_C_M.csv,52,AvgDialog,Content,拉蒙娜战损版,我已经通过链接向你共享了银钥监测到的敌方<Yellow:意图>，小心，它要发动攻击了！,"Через связь я поделилась с тобой <Yellow:намерением> врага, которого обнаружил Серебряный Ключ. Осторожней, будет атаковать!"
AvgDialog_10120_Content_1,adle,avg序章_AvgDialog_C_M.csv,53,AvgDialog,Content,拉蒙娜战损版,"保护好你手中的指令仪，小心融蚀污染。
在接下来的战斗中，它不可或缺。","Защити командное устройство в своих руках, остерегайся загрязнения Растворением.\nВ предстоящем бою он незаменим."
AvgDialog_10120_Content_2,adlf,avg序章_AvgDialog_C_M.csv,54,AvgDialog,Content,拉蒙娜战损版,按住<Yellow:指令卡>，拖动到<Yellow:中央指令区>，向我发出行动指令。,"Нажми и удерживай <Yellow:командную карту>, перетащи её в <Yellow:центр экрана>, чтобы отдать мне команду."
AvgDialog_10138_Content_1,adpE,avg序章_AvgDialog_C_M.csv,55,AvgDialog,Content,拉蒙娜战损版,保持警惕，它要发动攻击了，这伤害对现在的我来说是致命的。,"Будь начеку, враг вот-вот нападёт. Слишком серьёзный урон, я так и погибнуть могу."
AvgDialog_10138_Content_2,adpF,avg序章_AvgDialog_C_M.csv,56,AvgDialog,Content,拉蒙娜战损版,相信你会做出理智的选择。这回合的行动，就选择<Yellow:「防御」>吧。,"Я верю, что ты примешь разумное решение. А сейчас предлагаю предлагаю выбрать <Yellow:«Защиту»>."
AvgDialog_10122_Content_1,adlj,avg序章_AvgDialog_C_M.csv,57,AvgDialog,Content,拉蒙娜战损版,拖延下去对我们不利，必须速战速决。,Промедление будет нам во вред; мы должны действовать быстро и решительно.
AvgDialog_10122_Content_2,adlk,avg序章_AvgDialog_C_M.csv,58,AvgDialog,Content,拉蒙娜战损版,"这是我自幼修习的<Yellow:「女王之剑」>。
就用这一击终结它吧！","Это <Yellow:«Меч Её Величества»>, который я оттачивала с детства.\nЗавершим бой одним ударом!"
AvgDialog_10140_Content_1,adpK,avg序章_AvgDialog_C_M.csv,59,AvgDialog,Content,拉蒙娜战损版,"感觉到我身上流转的狂气了吗，守密人？
多亏有你的精神力压制，否则它将会让我陷入和萝坦一样的疯狂。","Ты чувствуешь, как Алиемус разливается по моему телу, Хранитель?\nБлагодаря подавлению твоей ментальной энергией меня не постигнет то же безумие, что и Лотан."
AvgDialog_10140_Content_2,adpL,avg序章_AvgDialog_C_M.csv,60,AvgDialog,Content,拉蒙娜战损版,不过现在，它能够为我们所用。,Однако сейчас мы можем воспользоваться им во благо.
AvgDialog_10140_Content_3,adpM,avg序章_AvgDialog_C_M.csv,61,AvgDialog,Content,拉蒙娜战损版,看向狂气流转的方向……对，看向指令仪的<Blue:左上角>。,"Взгляни на вихрь Алиемуса... Да, он в <Blue:левом верхнем углу> от командного устройства."
AvgDialog_10140_Content_4,adpN,avg序章_AvgDialog_C_M.csv,62,AvgDialog,Content,拉蒙娜战损版,"释放狂气爆发，贯彻我的<Yellow:「世界演绎法」>吧！
在对抗融蚀的过程中，<Yellow:只有合理应对攻势，才能谋得最大的生机>。","Используй моё Вознесение и примени <Yellow:«Указ мироздания»>!\nВ борьбе с Растворением <Yellow:только должным образом отреагировав на действия врага, мы сможем обеспечить себе наибольшие шансы на выживание>."
AvgDialog_10141_Content_1,adpO,avg序章_AvgDialog_C_M.csv,63,AvgDialog,Content,玩家,糟糕，萝坦将要释放<Yellow:狂气爆发>……只靠这些指令的话……,"Беда, Лотан сейчас использует своё <Yellow:Вознесение>... Если мы будем полагаться только на эти команды..."
AvgDialog_10141_Content_2,adpP,avg序章_AvgDialog_C_M.csv,64,AvgDialog,Content,拉蒙娜战损版,银钥匙与你精神相连，你的强烈感悟，乃至回忆，都能让它震荡出别具一格的力量。,Серебряный ключ связан с твоим духом; твои сильные чувства и даже воспоминания могут наделить его уникальной силой.
AvgDialog_10141_Content_3,adpQ,avg序章_AvgDialog_C_M.csv,65,AvgDialog,Content,拉蒙娜战损版,快看指令仪的<Blue:左下角>！银钥之能已经充盈，<Yellow:钥令>已经就绪。,"Посмотри в <Blue:нижний левый угол> командного устройства! Сила Серебряного ключа восполнена, <Yellow:Зов> готов."
AvgDialog_10141_Content_4,adpR,avg序章_AvgDialog_C_M.csv,66,AvgDialog,Content,拉蒙娜战损版,握紧银钥匙，唱诵密文……释放<Yellow:钥令>，为我争取到更多的战术空间！,"Крепко сожми Серебряный ключ, воспой тайный текст... Используй <Yellow:Зов>, чтобы обеспечить мне больше пространства для манёвра!"
AvgDialog_10136_Content_1,adpu,avg序章_AvgDialog_C_M.csv,67,AvgDialog,Content,拉蒙娜战损版,这是……萝坦引以为傲的的<Yellow:「桀骜之刃」>，会瞬间发起多段攻击！,"Это... Гордость Лотан, <Yellow:«Вольный клинок»>, который может мгновенно нанести несколько ударов!"
AvgDialog_10136_Content_2,adpv,avg序章_AvgDialog_C_M.csv,68,AvgDialog,Content,拉蒙娜战损版,应对这一招……用<Yellow:「攻势推演」>避开关键弱点，这样更稳妥。,Чтобы справиться с этим приёмом...используй <Yellow:«Тезис наступления»> — так ты обойдёшь ключевые слабые места. Это будет надёжнее.
AvgDialog_10124_Content_1,adme,avg序章_AvgDialog_C_M.csv,69,AvgDialog,Content,拉蒙娜战损版,看来你已经找到状态了。接下来指挥就交给你了，守密人！,"Похоже, ты {Male=нашёл,Female=нашла} свой ритм. Теперь командование на тебе, Хранитель!"
AvgDialog_10134_Content_1,adpa,avg序章_AvgDialog_C_M.csv,70,AvgDialog,Content,萝坦,喂，你这家伙，快点，让我释放<Yellow:「桀骜之刃」>。,"Эй, человечишки, поторопитесь уже и дайте мне использовать <Yellow:«Вольный клинок»>."
AvgDialog_10134_Content_2,adpb,avg序章_AvgDialog_C_M.csv,71,AvgDialog,Content,朵尔唤醒体,"慢着，守密人。
先释放「打击」，激发萝坦的血性，能够降低<Yellow:「桀骜之刃」>的算力消耗。","Подожди, Хранитель.\nСначала используй «Удар», чтобы пробудить боевой дух Лотан, что снизит расход Арифметики для <Yellow:«Вольного клинка»>."
AvgDialog_10134_Content_3,adpc,avg序章_AvgDialog_C_M.csv,72,AvgDialog,Content,朵尔唤醒体,"合适的指令组合能让我们的攻击事半功倍。
战术就在指令中，守密人。好好想想。","Правильный порядок команд может значительно повысить эффективность наших атак.\nВ этом суть тактики, Хранитель. Хорошо подумай."
AvgDialog_10128_Content_1,adno,avg序章_AvgDialog_C_M.csv,73,AvgDialog,Content,拉蒙娜战损版,小心，对方进入强攻态势了！,"Осторожно, противник перешёл в наступление!"
AvgDialog_10128_Content_2,adnp,avg序章_AvgDialog_C_M.csv,74,AvgDialog,Content,朵尔唤醒体,"怕什么，我还在这里呢。
守密人，让我执行<Yellow:「外域手术」>。","Не бойся, я всё ещё здесь.\nХранитель, позволь мне выполнить <Yellow:«Наружнюю хирургию»>."
AvgDialog_10125_Content_1,admf,avg序章_AvgDialog_C_M.csv,75,AvgDialog,Content,拉蒙娜战损版,呼，抱歉，现在没时间等你适应了。,"Фух, извини, сейчас нет времени ждать, пока ты адаптируешься."
AvgDialog_10125_Content_2,admq,avg序章_AvgDialog_C_M.csv,76,AvgDialog,Content,拉蒙娜战损版,异变体在警钟敲响之前抵达钥冢，弥萨格外围的<Blue:迷雾屏障>多半已经失效。,"Мутанты добрались до Кургана ключей прежде, чем прозвучал сигнал тревоги, а <Blue:туманный барьер> вокруг Мисага скорее всего больше не работает."
AvgDialog_10125_Content_3,admB,avg序章_AvgDialog_C_M.csv,77,AvgDialog,Content,拉蒙娜战损版,"<Blue:威廉>学长知道今天钥冢有仪式，但援兵一直没来，加上钟声……
我们必须想办法和他们会合，<Yellow:消灭异变的源头>。","Старший <Blue:Уильям> знает о сегодняшней церемонии в Кургане ключей, но подкрепление еще не прибыло, а колокола звонят...\nМы должны найти способ перегруппироваться и <Yellow:устранить источник аномалии>."
AvgDialog_10125_Content_4,admM,avg序章_AvgDialog_C_M.csv,78,AvgDialog,Content,拉蒙娜战损版,那是？！,Что это?!
AvgDialog_10125_Content_6,admY,avg序章_AvgDialog_C_M.csv,80,AvgDialog,Content,,视线尽头，金发少年抬着与身量不相称的黑色巨盾，正在抵抗身姿矫健的双剑战士的攻击。,"На периферии твоего зрения светловолосый мальчик с массивным чёрным щитом, непропорционально большим для его роста, отражает атаки ловкой воительницы с двумя мечами."
AvgDialog_10125_Content_7,admZ,avg序章_AvgDialog_C_M.csv,81,AvgDialog,Content,,他用护盾牢牢挡住身后的粉色长发少女，被逼得节节后退。,"Он загораживает собой розововолосую девушку, но каждая атака вынуждает Ожье смещаться на шаг назад."
AvgDialog_10125_Content_8,adna,avg序章_AvgDialog_C_M.csv,82,AvgDialog,Content,拉蒙娜战损版,等等……正在发动袭击的人……是<Yellow:唤醒体>萝坦？！,Минуточку... Его атакует... <Yellow:Пробуждённая> Лотан?!
AvgDialog_10125_Content_9,adnb,avg序章_AvgDialog_C_M.csv,83,AvgDialog,Content,拉蒙娜战损版,朵尔？<Blue:钟楼>失控了？！,Долл? <Blue:Колокольня> больше неподконтрольна?!
AvgDialog_10125_Content_10,admg,avg序章_AvgDialog_C_M.csv,84,AvgDialog,Content,,拉蒙娜大惊失色，在记忆中，你似乎从未见过她如此慌乱的模样。,"Рамона в ужасе; никогда прежде ты не {Male=видел,Female=видела} её такой взволнованной."
AvgDialog_10125_Content_11,admh,avg序章_AvgDialog_C_M.csv,85,AvgDialog,Content,,被劈头盖脸砸了问题的少女声音颤抖，看上去有些疲惫。,"Девушка, заваленная вопросами, отвечает слегка дрожащим голосом и выглядит при этом очень уставшей."
AvgDialog_10125_Content_12,admi,avg序章_AvgDialog_C_M.csv,86,AvgDialog,Content,,你认识她，她是以难交流著称的教授朵尔，隶属于<Blue:唤醒系科研所>。换句话说，是非战斗人员。,"Ты её знаешь: профессор Долл, известная своим трудным характером. Она из <Blue:Института исследований Пробуждения> Иными словами — не боец."
AvgDialog_10125_Content_13,admj,avg序章_AvgDialog_C_M.csv,87,AvgDialog,Content,朵尔唤醒体,不然我、来这里度假吗？,"По-твоему, я здесь на отдыхе?"
AvgDialog_10125_Content_14,admk,avg序章_AvgDialog_C_M.csv,88,AvgDialog,Content,,她闭了闭眼，振作起来。,"Она закрывает глаза, чтобы собраться с мыслями."
AvgDialog_10125_Content_15,adml,avg序章_AvgDialog_C_M.csv,89,AvgDialog,Content,朵尔唤醒体,钥冢居然也受到了袭击？这里离后门近，你们抓紧时间离开。,Курган ключей тоже подвергся нападению? Здесь близко к чёрному ходу. Вам нужно срочно покинуть это место.
AvgDialog_10125_Content_16,admm,avg序章_AvgDialog_C_M.csv,90,AvgDialog,Content,拉蒙娜战损版,我们能帮上忙！%player%可以链接我们所有人，然后指挥——,Мы поможем! %player% может создать связь с нами всеми и принять командование—
AvgDialog_10125_Content_17,admn,avg序章_AvgDialog_C_M.csv,91,AvgDialog,Content,朵尔唤醒体,"拉蒙娜。
那些是我们的义务，%player%只是个刚读完预科的新人。","Рамона.\nЭто наша обязанность, %player% совсем недавно {Male=завершил,Female=завершила} подготовительные курсы."
AvgDialog_10125_Content_18,admo,avg序章_AvgDialog_C_M.csv,92,AvgDialog,Content,拉蒙娜战损版,但%player%已经和我链接了，我知道%heorshe%可以……我相信%heorshe%可以！,"Но %player% уже {Male=установил,Female=установила} связь со мной, и я знаю, что {Male=он,Female=она} может... Я верю, в {Male=него,Female=неё}!"
AvgDialog_10125_Content_19,admp,avg序章_AvgDialog_C_M.csv,93,AvgDialog,Content,,朵尔上下打量你，板起脸朝向拉蒙娜。,"Долл оценивающе осмотривает тебя, а затем хмурится и поворачивается к Рамоне."
AvgDialog_10125_Content_20,admr,avg序章_AvgDialog_C_M.csv,94,AvgDialog,Content,朵尔唤醒体,"如果我没猜错，宣誓仪式应该尚未完成。
%heorshe%，还没有被授予银钥匙吧？","Если я не ошибаюсь, церемония присяги ещё не закончилась.\n{Male=Он,Female=Она} ведь ещё не {Male=удостоился,Female=удостоилась} Серебряного ключа?"
AvgDialog_10125_Content_21,adms,avg序章_AvgDialog_C_M.csv,95,AvgDialog,Content,朵尔唤醒体,接下来我们会深入弥萨格禁区，未经授权者擅入禁区是什么级别的事故，我以为你自幼在此长大，心里是有数的。,"Мы углубляемся в закрытую зону Мисага. Полагаю, вы, выросшие здесь, понимаете, насколько серьёзными последствиями может обернуться несанкционированное проникновение сюда, учитывая уровень опасности."
AvgDialog_10125_Content_22,admt,avg序章_AvgDialog_C_M.csv,96,AvgDialog,Content,拉蒙娜战损版,"情况紧急，我们别无选择，不是吗？
而且，%player%不是普通的新生，%heorshe%是我们唯一的守密人。","Ситуация критическая. У нас нет другого выхода, верно?\nК тому же, %player% не {Male=обычный новичок,Female=обычная новенькая}, {Male=он,Female=она} — наш единственный Хранитель."
AvgDialog_10125_Content_23,admu,avg序章_AvgDialog_C_M.csv,97,AvgDialog,Content,拉蒙娜战损版,你应该还记得吧，一年前的<Yellow:阿库特大爆炸>。 当时如果不是%heorshe%以一己之力链接所有唤醒体，我现在也不可能站在这里与你争论。,"Ты наверняка помнишь <Yellow:взрыв в Якутске>, произошедший год назад. Если бы {Male=он,Female=она} тогда в одиночку не {Male=связал,Female=связала} воедино всех Пробуждённых, я бы сейчас не спорила с тобой."
AvgDialog_10125_Content_24,admv,avg序章_AvgDialog_C_M.csv,98,AvgDialog,Content,,粉色头发的少女没有回答，反而转向了你。,"Девушка с розовыми волосами не отвечает ей, и вместо этого поворачивается к тебе."
AvgDialog_10125_Content_25,admw,avg序章_AvgDialog_C_M.csv,99,AvgDialog,Content,朵尔唤醒体,我知道你曾经窥见过<Yellow:「门」>内之物。但无论是世界的未来，还是弥萨格的内核，或许都比你想象得更为残酷。,"Я знаю, ты {Male=видел,Female=видела}, что находится за <Yellow:«Вратами»>. Но будущее мира и суть Мисага, возможно, гораздо более жестоки, чем ты можешь себе представить."
AvgDialog_10125_Content_26,admx,avg序章_AvgDialog_C_M.csv,100,AvgDialog,Content,朵尔唤醒体,我们面对的是会毁灭物质存在本身的现象，一旦被<Yellow:融蚀>污染，你的一切都会烟消云散。,"Мы сражаемся с явлением, что изничтожает само существование. Как только ты подвергнешься <Yellow:Растворению>, все оставленные тобою в мире следы неизбежно исчезнут."
AvgDialog_10125_Content_27,admy,avg序章_AvgDialog_C_M.csv,101,AvgDialog,Content,朵尔唤醒体,你在宣誓仪式中刻在墓碑上的名字，也会化作一滩黑泥，无人铭记。,Высеченное на надгробии во время церемонии имя превратится в чёрное нечто и будет забыто всеми.
AvgDialog_10125_Content_28,admz,avg序章_AvgDialog_C_M.csv,102,AvgDialog,Content,朵尔唤醒体,回答我，你真的做好觉悟了吗？,"Так скажи мне. Ты действительно {Male=готов,Female=готова}?"
AvgDialog_10125_Content_29,admA,avg序章_AvgDialog_C_M.csv,103,AvgDialog,Content,,朵尔冷冰冰地望着你，语调毫无起伏。,"Долл холодно смотрит на тебя, и тон её абсолютно лишён эмоций."
AvgDialog_10125_Content_30,admC,avg序章_AvgDialog_C_M.csv,104,AvgDialog,Content,,她看上去没什么表情，但你从那冰霜般的瞳孔底部，窥见了熊熊燃烧的火焰。,"Она казажется невозмутимой, но в глубине её ледяных глаз бушует пламя."
AvgDialog_10125_Content_31,admD,avg序章_AvgDialog_C_M.csv,105,AvgDialog,Content,,你的回答是——,Твой ответ—
AvgDialog_10125_Content_32,admE,avg序章_AvgDialog_C_M.csv,106,AvgDialog,Content,,我的墓碑，现在正伫立于钥冢之中。,Теперь моё надгробие стоит на Кургане ключей.
AvgDialog_10125_Content_33,admF,avg序章_AvgDialog_C_M.csv,107,AvgDialog,Content,,"你是弥萨格的一员。
或许早在阿库特时，你就已经是了。","Ты член Мисага.\nВозможно, ты им {Male=был,Female=была} ещё со времён Якутска."
AvgDialog_10125_Content_34,admG,avg序章_AvgDialog_C_M.csv,108,AvgDialog,Content,,这里有只有我能做到的事情。,Только я могу это сделать.
AvgDialog_10125_Content_35,admH,avg序章_AvgDialog_C_M.csv,109,AvgDialog,Content,,这决定或许稍显仓促，但谁能保证人生的每个时刻都是准备万全的呢？,"Возможно, это решение немного поспешное, но кто может быть готов ко всему в жизни?"
AvgDialog_10125_Content_36,admI,avg序章_AvgDialog_C_M.csv,110,AvgDialog,Content,朵尔唤醒体,好。,Хорошо.
AvgDialog_10125_Content_37,admJ,avg序章_AvgDialog_C_M.csv,111,AvgDialog,Content,朵尔唤醒体,我代弥萨格第六任校长<Blue:奥利弗·艾尔西>授予你这枚银钥匙，编号K-0617。,"От имени <Blue:Оливера Элси>, шестого директора Мисага, я вручаю тебе этот Серебряный ключ под номером К-0617."
AvgDialog_10125_Content_39,admL,avg序章_AvgDialog_C_M.csv,113,AvgDialog,Content,,"朵尔从精密的小盒中取出银钥匙，佩戴在你的胸口。
银钥匙闪过荧光，熟悉的感觉充盈胸腔。","Долл достаёт Серебряный ключ из изящной шкатулки и вешает его на твою грудь.\nСеребряный ключ вспыхнул флуоресцентным свечением, и знакомое чувство наполняет твою грудь."
AvgDialog_10125_Content_40,admN,avg序章_AvgDialog_C_M.csv,114,AvgDialog,Content,朵尔唤醒体,从今往后，你将以守密人的称号，与万万千千的弥萨格师生同在。,"С этого дня ты будешь {Male=известен,Female=известна} как Хранитель среди бесчисленного множества учителей и учеников Мисага."
AvgDialog_10125_Content_41,admO,avg序章_AvgDialog_C_M.csv,115,AvgDialog,Content,朵尔唤醒体,……,...
AvgDialog_10125_Content_42,admP,avg序章_AvgDialog_C_M.csv,116,AvgDialog,Content,朵尔唤醒体,现在，和我链接吧。,А теперь установи связь со мной.
