Key,ShortKey,Source,Row,Module,Field,Role,CN,VN
Item_9916_Desc,aGqT,d道具_Item_A.csv,13,Item,Desc,,由弥萨格大学创始人研究出的，能够提升唤醒体能力的制剂。\n由银芯与秘药调配而成，呈现出一种特殊的颜色。,"Dược phẩm được nghiên cứu bởi người sáng lập Đại học Misaque, có thể tăng cường khả năng của Thể Thức Tỉnh. \n Được pha chế từ bạc và thuốc bí truyền, nó toả ra một màu sắc đặc biệt."
Item_10056_Name,aCMJ,d道具_Item_A.csv,14,Item,Name,,同调率,Độ Hảo Cảm
Item_10056_Desc,aCMH,d道具_Item_A.csv,14,Item,Desc,,你们将彼此信任。\n守密人与唤醒体的精神同调程度。可以解锁更多唤醒体的档案故事。,Bạn sẽ tin tưởng lẫn nhau. \nĐộ Hảo Cảm giữa Người Giữ Khóa và Thể Thức Tỉnh có thể mở khóa thêm về hồ sơ và những câu chuyện.
Item_10053_Name,aCMB,d道具_Item_A.csv,15,Item,Name,,演习徽章,Huy Hiệu Đối Kháng
Item_10053_Desc,aCMz,d道具_Item_A.csv,15,Item,Desc,,简洁的银质徽章，上面篆刻弥萨格的标志。\n用以表彰在相位对弈中取得优异成绩的守密人，用以在交换商店中兑换物资。,Một chiếc huy hiệu bạc khắc dấu ấn của Mythag.\nPhần thưởng cho Người Giữ Khóa làm tốt trong Đối Kháng. Có thể đổi phần thưởng tại cửa hàng.
Item_9615_Name,aFVd,d道具_Item_A.csv,17,Item,Name,,根源沉淀,Tinh Hoa Lắng Đọng
Item_9615_Desc,aFVb,d道具_Item_A.csv,17,Item,Desc,,它沉淀未知。\n根源浮沫脱水后的沉淀物。仔细保管，这可是弥萨格商店的硬通货。,"Thành phần cụ thể của nó chưa được phân tích rõ ràng. \nĐây là những tinh hoa đọng lại từ Hồ Đen. Bảo quản thật kỹ, bởi nó là thứ luôn được Cửa Hàng Mythag săn đón. "
Item_9607_Name,aFUx,d道具_Item_A.csv,18,Item,Name,,课题证明,EXP Môn Học
Item_9607_Desc,aFUv,d道具_Item_A.csv,18,Item,Desc,,一些繁琐却不得不做的日常工作。\n批示报告所用的红色印章，用于提升课题纪录的进度，证明你是个从不偷懒的好学生。,"Là những công việc nhàm chán nhưng không thể thiếu. \nCon dấu màu đỏ dùng để phê duyệt báo cáo, giúp tăng tiến độ Nhật Ký, chứng minh rằng bạn là một học sinh chăm chỉ và không bao giờ lười biếng."
Item_119012_Name,bJxg,d道具_Item_A.csv,19,Item,Name,,预组经验,EXP Chọn Tất Cả
Item_119012_Desc,bJxf,d道具_Item_A.csv,19,Item,Desc,,预组经验达到一定值时，预组等级提升。可在相位对弈预组模式中获得。,"Kinh nghiệm ở chế độ Chọn Tất Cả. Khi đủ, sẽ nâng cấp. Nhận được thông qua chơi Đối Kháng chế độ Chọn Tất Cả."
Item_119011_Name,bJxe,d道具_Item_A.csv,20,Item,Name,,轮选经验,EXP Chọn Theo Lượt
Item_119011_Desc,bJxd,d道具_Item_A.csv,20,Item,Desc,,轮选经验达到一定值时，轮选等级提升。可在相位对弈轮选模式中获得。,"Kinh nghiệm ở chế độ Chọn Theo Lượt. Khi đủ, sẽ nâng cấp. Nhận được thông qua chơi Đối Kháng chế độ Chọn Theo Lượt."
Item_118305_Name,bJxc,d道具_Item_A.csv,21,Item,Name,,深潜经验,EXP Huyễn Cảnh
Item_118305_Desc,bJxb,d道具_Item_A.csv,21,Item,Desc,,深潜经验达到一定值时，深潜等级提升。可在幻梦深潜中获得。,"Kinh nghiệm ở chế độ Huyễn Cảnh. Khi đủ, sẽ nâng cấp. Nhận được thông qua chơi chế độ Huyễn Cảnh."
Item_9542_Name,aFPJ,d道具_Item_A.csv,23,Item,Name,,融蚀之珠,Ngọc Phân Rã
Item_9542_Desc,aFPH,d道具_Item_A.csv,23,Item,Desc,,被灾厄打磨的奇迹。\n通过每周试炼获得的稀有融蚀结晶，通体散发月光般的光泽。用以在交换商店中兑换物资。,Điều kỳ diệu sót lại sau những thảm họa. \n Loại tinh thể Phân Rã có thể rơi ra ở Thử Thách Hàng Tuần. Thứ tỏa sáng như ánh trăng này có thể dùng để đổi tại Cửa Hàng Mythag.
Item_20482_Name,aCRV,d道具_Item_A.csv,24,Item,Name,,调查徽章,Huy Hiệu Điều Tra
Item_20482_Desc,aCRT,d道具_Item_A.csv,24,Item,Desc,,金闪闪的徽章，上面篆刻象征雷欧王国的蔷薇。在地下市场能卖个不错的好价钱。\n用以表彰在调查行动中取得优异成绩的守密人，用以在交换商店中兑换物资。,"Là một huy chương vàng lấp lánh khắc bông hoa hồng tượng trung cho Vương quốc Leo. Có thể được bán với giá rất cao trên chợ đen.\n Huy hiệu này dùng để trao thưởng cho những Người Giữ Khóa có thành tích xuất sắc trong các cuộc điều tra, và cũng có thể dùng để đổi những vật phẩm khác ở Cửa Hàng Mythag."
Item_20481_Name,aCRR,d道具_Item_A.csv,25,Item,Name,,黑色贡物,Hắc Thạch
Item_20481_Desc,aCRP,d道具_Item_A.csv,25,Item,Desc,,扑通，扑通。\n散落在无光之境中的小小心脏，是「祂们」最爱的食物。\n用以交换命轮和无垢之芯等物资。,"Bịch bịch. \n Những trái tim nhỏ bé rơi rớt trong Vùng Đất Bóng Đêm là thức ăn yêu thích của ""Họ"".\n Có thể đổi chúng cho những phần thưởng khác nhau tại Cửa Hàng Mythag."
Item_10072_Name,aCNV,d道具_Item_A.csv,31,Item,Name,,应急灵知体,Thẻ Khẩn Cấp
Item_10072_Desc,aCNT,d道具_Item_A.csv,31,Item,Desc,,「别担心，我们永远是你最坚实的后盾。」\n弥萨格大学珍贵的特殊装置。内含极强的精神力量，能在瞬间激发唤醒体的潜力，恢复其状态。\n每日 9 点，如果当前剩余次数小于 5，则可自动获得 1 次。,"""Đừng lo, chúng tôi sẽ luôn là chỗ dựa vững chắc nhất của bạn."" \nĐại học Mythag luôn có sẵn những thiết bị chuyên dụng quý giá. Với lượng linh trí có sẵn ở bên trong, nó có thể ngay lập tức hồi phục năng lực đồng thời cường hóa sức mạnh các Thể Thức Tỉnh ngay lập tức. \nMỗi ngày vào lúc 9 giờ, nếu số lần còn lại hiện tại nhỏ hơn 5, sẽ tự động nhận được 1 lần."
Item_9803_Name,aGjh,d道具_Item_A.csv,32,Item,Name,,特批药剂,Thuốc An Thần
Item_9803_Desc,aGjf,d道具_Item_A.csv,32,Item,Desc,,非常时期，当用非常手段。\n温柯尔特批的一批灵啡肽试剂，可帮助守密人快速恢复理智。\n使用后，补充120灵啡肽,"Thời khó thì cần những biện pháp hay. \nMột lô thuốc an thần giúp hồi phục Menophin do Winkle phê chuẩn nhằm giúp Người Giữ Khóa nhanh chóng khôi phục lý trí trong nhiệm vụ. \nSau khi sử dụng, bổ sung 120 Menophin."
Item_9719_Name,aGcR,d道具_Item_A.csv,33,Item,Name,,无垢之芯,Lõi Nguyên Chất
Item_9719_Desc,aGcP,d道具_Item_A.csv,33,Item,Desc,,无瑕的银芯结晶。\n提纯银芯后获得，可链接高位存在的意志。,Tinh thể bạc không tì vết. \n Nhận được sau khi chiết xuất từ bạc. Nó có thể được dùng để liên kết với ý chí của những thực thể cấp cao.
Item_9802_Name,aGjd,d道具_Item_A.csv,34,Item,Name,,流明之芯,Lõi Tuyệt Chất
Item_10064_Name,aCNp,d道具_Item_A.csv,37,Item,Name,,灵知制剂Ⅰ,Thuốc Tri ThứcⅠ
Item_10064_Desc,aCNn,d道具_Item_A.csv,37,Item,Desc,,由弥萨格大学创始人研究出的，能够提升唤醒体能力的制剂。\n由银芯与秘药调配而成，呈现出一种奇异的色泽。\n可以为唤醒体提供500经验值。,"Dược phẩm được nghiên cứu bởi người sáng lập Đại học Misaque, có thể tăng cường khả năng của Thể Thức Tỉnh. \n Được pha chế từ bạc và thuốc bí truyền, nó toả ra một màu sắc đặc biệt.\n Có thể cung cấp 500 điểm kinh nghiệm cho Thể Thức Tỉnh."
Item_9834_Name,aGkZ,d道具_Item_A.csv,38,Item,Name,,灵知制剂Ⅱ,Thuốc Tri ThứcⅡ
Item_9834_Desc,aGkX,d道具_Item_A.csv,38,Item,Desc,,由弥萨格大学创始人研究出的，能够提升唤醒体能力的制剂。由银芯与秘药调配而成，呈现出一种奇异的色泽。\n可以为唤醒体提供2000经验值。,"Dược phẩm được nghiên cứu bởi người sáng lập Đại học Misaque, có thể tăng cường khả năng của Thể Thức Tỉnh. \n Được pha chế từ bạc và thuốc bí truyền, nó toả ra một màu sắc đặc biệt.\n Có thể cung cấp 2000 điểm kinh nghiệm cho Thể Thức Tỉnh."
Item_9762_Name,aGfZ,d道具_Item_A.csv,39,Item,Name,,灵知制剂Ⅲ,Thuốc Tri Thức Ⅲ
Item_9762_Desc,aGfX,d道具_Item_A.csv,39,Item,Desc,,由弥萨格大学创始人研究出的，能够提升唤醒体能力的制剂。由银芯与秘药调配而成，呈现出一种奇异的色泽。\n可以为唤醒体提供10000经验值。,"Dược phẩm được nghiên cứu bởi người sáng lập Đại học Misaque, có thể tăng cường khả năng của Thể Thức Tỉnh. \n Được pha chế từ bạc và thuốc bí truyền, nó toả ra một màu sắc đặc biệt.\n Có thể cung cấp 10000 điểm kinh nghiệm cho Thể Thức Tỉnh."
Item_10030_Name,aCLd,d道具_Item_A.csv,40,Item,Name,,淬制本能,Bản Năng Tinh Luyện
Item_10030_Desc,aCLb,d道具_Item_A.csv,40,Item,Desc,,是的，万物皆可淬制。\n你的本能、你的理智，甚至你的心……\n到头来你会发现，你和他们其实也没什么不同。\n用以升格深海界域唤醒体的材料。,"Vâng, mọi thứ đều có thể được tinh luyện. \n Bản năng của bạn, lý trí của bạn, thậm chí là linh hồn của bạn… \n Cuối cùng bạn sẽ nhận ra, bạn và họ thực ra cũng không khác gì nhau. \n Vật liệu dùng để Đánh Thức Thể Thức Tỉnh trong cõi Hải Vực."
Item_9758_Name,aGfJ,d道具_Item_A.csv,41,Item,Name,,淬制理智,Lý Trí Tinh Luyện
Item_9758_Desc,aGfH,d道具_Item_A.csv,41,Item,Desc,,是的，万物皆可淬制。\n你的本能、你的理智，甚至你的心……\n到头来你会发现，你和他们其实也没什么不同。\n用以升格深海界域唤醒体的材料。,"Vâng, mọi thứ đều có thể được tinh luyện. \n Bản năng của bạn, lý trí của bạn, thậm chí là linh hồn của bạn… \n Cuối cùng bạn sẽ nhận ra, bạn và họ thực ra cũng không khác gì nhau. \n Vật liệu dùng để Đánh Thức Thể Thức Tỉnh trong cõi Hải Vực."
Item_9971_Name,aGuN,d道具_Item_A.csv,42,Item,Name,,淬制心灵,Linh Trí Tinh Luyện
Item_9971_Desc,aGuL,d道具_Item_A.csv,42,Item,Desc,,是的，万物皆可淬制。\n你的本能、你的理智，甚至你的心……\n到头来你会发现，你和他们其实也没什么不同。\n用以升格深海界域唤醒体的材料。,"Vâng, mọi thứ đều có thể được tinh luyện. \n Bản năng của bạn, lý trí của bạn, thậm chí là linh hồn của bạn… \n Cuối cùng bạn sẽ nhận ra, bạn và họ thực ra cũng không khác gì nhau. \n Vật liệu dùng để Đánh Thức Thể Thức Tỉnh trong cõi Hải Vực."
Item_9755_Name,aGfx,d道具_Item_A.csv,43,Item,Name,,记忆副本,Bản Sao Ký Ức
Item_9755_Desc,aGfv,d道具_Item_A.csv,43,Item,Desc,,为了人类存续。\n被保存在画框里的记忆。用以升格血肉界域唤醒体的材料。,Để duy trì và bảo vệ cho sự tồn vong của loài người. \n Ký Ức được bảo tồn trong một chiếc khung. Dùng làm nguyên liệu Đánh Thức cho Thể Thức Tỉnh cõi Huyết Nhục.
Item_9740_Name,aGet,d道具_Item_A.csv,44,Item,Name,,情感副本,Bản Sao Cảm Xúc
Item_9740_Desc,aGer,d道具_Item_A.csv,44,Item,Desc,,为了人类存续。\n被保存在画框里的情感。用以升格血肉界域唤醒体的材料。,Để duy trì và bảo vệ cho sự tồn vong của loài người. \n Cảm xúc được bảo tồn trong một chiếc khung. Dùng làm nguyên liệu Đánh Thức cho Thể Thức Tỉnh cõi Huyết Nhục.
Item_9925_Name,aGrF,d道具_Item_A.csv,45,Item,Name,,意识副本,Bản Sao Ý Thức
Item_9925_Desc,aGrD,d道具_Item_A.csv,45,Item,Desc,,为了人类存续。\n被保存在画框里的意识。用以升格血肉界域唤醒体的材料。,Để duy trì và bảo vệ cho sự tồn vong của loài người. \n Ý Thức được bảo tồn trong một chiếc khung. Dùng làm nguyên liệu Đánh Thức cho Thể Thức Tỉnh cõi Huyết Nhục.
Item_10044_Name,aCMd,d道具_Item_A.csv,46,Item,Name,,认知模板,Mô Hình Nhận Thức
Item_10044_Desc,aCMb,d道具_Item_A.csv,46,Item,Desc,,给予我们未可知晓的认知。\n源自菲林诗社的特殊胶片，能转写人的认知。\n用以升格超维界域唤醒体的材料。,"Ban cho chúng tôi nhận thức về những điều chưa thể biết. \n Đến từ cuộn phim đặc biệt của Hội thơ Felin, có thể ghi lại nhận thức của con người. \n Dùng để Đánh Thức Thể Thức Tỉnh cõi Siêu Chiều."
Item_9904_Name,aGqd,d道具_Item_A.csv,47,Item,Name,,精神模板,Mô Hình Tinh Thần
Item_9904_Desc,aGqb,d道具_Item_A.csv,47,Item,Desc,,给予我们未可知晓的精神。\n源自菲林诗社的特殊胶片，能转写人的精神。\n用以升格超维界域唤醒体的材料。,"Ban cho chúng tôi tinh thần mà chưa thể thấu. \n Đến từ cuộn phim đặc biệt của Hội thơ Felin, có thể ghi lại tinh thần của con người. \n Dùng để Đánh Thức Thể Thức Tỉnh cõi Siêu Chiều."
Item_9768_Name,aGgx,d道具_Item_A.csv,48,Item,Name,,灵知模板,Mô Hình Linh Tri Thức
Item_9768_Desc,aGgv,d道具_Item_A.csv,48,Item,Desc,,给予我们未可知晓的灵知。\n源自菲林诗社的特殊胶片，能转写人的灵知。\n用以升格超维界域唤醒体的材料。,"Ban cho chúng tôi linh hồn vô hình, tri thức vô biên. \n Đến từ cuộn phim đặc biệt của Hội thơ Felin, có thể ghi lại cội nguồn của con người. \n Dùng để Đánh Thức Thể Thức Tỉnh cõi Siêu Chiều."
Item_9940_Name,aGsx,d道具_Item_A.csv,49,Item,Name,,纯白残片,Mảnh Giấy Trắng
Item_9940_Desc,aGsv,d道具_Item_A.csv,49,Item,Desc,,历史会重演，宇宙可能除外。\n记载了神秘文字的残页，用以升格混沌界域唤醒体的材料。,"Lịch sử có thể lặp lại, nhưng có lẽ vũ trụ không hề hoạt động như thế.\n Trang giấy này được ghi lại bằng ngôn ngữ huyền bí, dùng làm vật liệu để Đánh Thức Thể Thức Tỉnh cõi Hỗn Mang."
Item_9793_Name,aGit,d道具_Item_A.csv,50,Item,Name,,纯白文书,Tập Giấy Trắng
Item_9793_Desc,aGir,d道具_Item_A.csv,50,Item,Desc,,历史会重演，宇宙可能除外。\n记载了神秘文字的文书，用以升格混沌界域唤醒体的材料。,"Lịch sử có thể lặp lại, nhưng có lẽ vũ trụ không hề hoạt động như thế.\n Tập giấy này được ghi lại bằng ngôn ngữ huyền bí, dùng làm vật liệu để Đánh Thức Thể Thức Tỉnh cõi Hỗn Mang."
Item_9799_Name,aGiR,d道具_Item_A.csv,51,Item,Name,,纯白秘篇,Bí Thư Trắng
Item_9799_Desc,aGiP,d道具_Item_A.csv,51,Item,Desc,,历史会重演，宇宙可能除外。\n记载了神秘文字的秘篇，用以升格混沌界域唤醒体的材料。,"Lịch sử có thể lặp lại, nhưng có lẽ vũ trụ không hề hoạt động như thế.\n Bí thư này được ghi lại bằng ngôn ngữ huyền bí, dùng làm vật liệu để Đánh Thức Thể Thức Tỉnh cõi Hỗn Mang."
Item_9825_Name,aGkx,d道具_Item_A.csv,52,Item,Name,,失色晶蝶,Bướm Pha Lê Đục
Item_9825_Desc,aGkv,d道具_Item_A.csv,52,Item,Desc,,它并非工艺品，而是蝴蝶撞上炼金术师后的悲惨结局。\n平凡的水晶蝴蝶。用于提升混沌界域唤醒体的技能等级。,"Tưởng chừng là một tác phẩm nghệ thuật, nào ngờ nó chỉ là một kết cục bi thương khi con bướm ấy va phải những quá trình luyện kim.\n Cánh bướm pha lê bình thường. Dùng để nâng cấp kỹ năng của Thể Thức Tỉnh cõi Hỗn Mang"
Item_9621_Name,aFVx,d道具_Item_A.csv,53,Item,Name,,闪耀晶蝶,Bướm Pha Lê Sáng
Item_9621_Desc,aFVv,d道具_Item_A.csv,53,Item,Desc,,翅膀只负责提供美丽，价值五片什。\n闪耀的水晶蝴蝶。身体大部分已被结晶化。\n用于提升混沌界域唤醒体的技能等级。,"Đôi cánh ấy giờ chẳng còn giá trị gì, có lẽ là hơn năm đồng… gì đó.\n Cánh bướm pha lê lấp lánh. Phần lớn thân thể đã bị kết tinh hóa. \n Dùng để nâng cấp kỹ năng của Thể Thức Tỉnh cõi Hỗn Mang"
Item_9769_Name,aGgB,d道具_Item_A.csv,54,Item,Name,,混沌结晶,Đàn Bướm Hỗn Mang
Item_9769_Desc,aGgz,d道具_Item_A.csv,54,Item,Desc,,扇动的翅膀有助于产生龙卷风，或是花粉过敏。\n成群的水晶蝴蝶。用于提升混沌界域唤醒体的技能等级。,"Chỉ là một đôi cánh, nhưng khi vỗ có thể hô biến ra lốc xoáy càn quét, thảm họa vô biên, hoặc chỉ là dị ứng phấn hoa. \nLà một bầy bướm pha lê bí ẩn. Được sử dụng để nâng cấp kỹ năng của Thể Thức Tỉnh cõi Hỗn Mang."
Item_9771_Name,aGgJ,d道具_Item_A.csv,55,Item,Name,,低茎海百合,Huệ Biển Lùn
Item_9771_Desc,aGgH,d道具_Item_A.csv,55,Item,Desc,,花语：离我远点。\n低茎海百合的化石。用于提升深海界域唤醒体的技能等级。,"Ở Ngôn ngữ của loài hoa, chúng có nghĩa rằng: Hãy tránh xa tôi. \n Là hóa thạch của hoa huệ biển thấp. Dùng để nâng cấp kỹ năng của Thể Thức Tỉnh cõi Hải Vực."
Item_10117_Name,aCRp,d道具_Item_A.csv,56,Item,Name,,高茎海百合,Huệ Biển Cao
Item_10117_Desc,aCRn,d道具_Item_A.csv,56,Item,Desc,,数亿年前，它们在温暖的海洋中称霸一方。\n高茎海百合的化石。用于提升深海界域唤醒体的技能等级。,"Hàng triệu năm về trước, chúng mọc đầy rẫy khắp nơi ở vùng nước ấm. \n Hóa thạch của hoa huệ biển cao. Dùng để nâng cấp kỹ năng của Thể Thức Tỉnh cõi Hải Vực."
Item_9812_Name,aGjJ,d道具_Item_A.csv,57,Item,Name,,尤因他百合,Huệ Biển Uinta
Item_9812_Desc,aGjH,d道具_Item_A.csv,57,Item,Desc,,他们相约一起杀戮，在海百合盛开的春天。\n尤因他海百合的化石。用于提升深海界域唤醒体的技能等级。,Họ đã hẹn với nhau. Họ đã hứa sẽ cùng nhau thảm sát vào mùa xuân khi hoa huệ biển nở rộ. \n Dựa trên hóa thạch của huệ biển cổ đại. Được sử dụng để nâng cấp kỹ năng của Thể Thức Tỉnh cõi Hải Vực.
Item_9549_Name,aFQh,d道具_Item_A.csv,58,Item,Name,,风干虫蛹,Kén Nhộng Khô
Item_9549_Desc,aFQf,d道具_Item_A.csv,58,Item,Desc,,漏风的家。总比没有的好。\n被遗留的蛹壳。用于提升血肉界域唤醒体的技能等级。,Nhà có gió lùa vẫn tốt hơn không. \nVỏ kén khô còn sót lại. Dùng để nâng cấp kỹ năng của Thể Thức Tỉnh cõi Huyết Nhục.
Item_9601_Name,aFTZ,d道具_Item_A.csv,59,Item,Name,,原生虫蛹,Kén Nhộng Tươi
Item_9601_Desc,aFTX,d道具_Item_A.csv,59,Item,Desc,,蠕动，扭曲，我们阴暗爬行……嘶……嘶……\n被寄生的虫蛹。用于提升血肉界域唤醒体的技能等级。,"Bò lết, lăn lê, vặn vẹo, chúng ta trở mình trong bóng tối… rít… rít…\nMột chiếc kén đã bị kí sinh. Được sử dụng để nâng cấp kỹ năng của Thể Thức Tỉnh cõi Huyết Nhục."
Item_9671_Name,aFZl,d道具_Item_A.csv,60,Item,Name,,芽孢聚合物,Kén Nhộng Bào Tử
Item_9671_Desc,aFZj,d道具_Item_A.csv,60,Item,Desc,,芽孢又做错了什么呢，它们只是想有个家罢了。\n虫蛹和它的芽孢邻居。用于提升血肉界域唤醒体的技能等级。,Các bào tử đã làm gì sao? Họ chỉ đơn giản muốn một ngôi nhà mà thôi. \n Kén nhộng và các bào tử bao quanh. Được sử dụng để nâng cấp kỹ năng của Thể Thức Tỉnh cõi Huyết Nhục.
Item_9726_Name,aGdt,d道具_Item_A.csv,61,Item,Name,,残破矿晶,Mảnh Vỡ Khoáng Thạch
Item_9726_Desc,aGdr,d道具_Item_A.csv,61,Item,Desc,,这下没人敢用它来占卜吉凶了吧。\n被融蚀浆覆盖的紫色水晶，用于提升超维界域唤醒体的技能等级。,"Nó không còn giá trị sử dụng để chiêm tinh nữa rồi. \n Tinh thể màu tím bị bao phủ bởi Slime Phân Rã, được sử dụng để nâng cấp kỹ năng của Thể Thức Tỉnh cõi Siêu Chiều."
Item_10013_Name,aCJV,d道具_Item_A.csv,62,Item,Name,,陨星碎块,Mảnh Vỡ Thiên Thạch
Item_10013_Desc,aCJT,d道具_Item_A.csv,62,Item,Desc,,闪烁着神秘的紫色辉光，据说是陨石坠落在坎布里安河谷时残留的碎块。\n用于提升超维界域唤醒体的技能等级。,"Khoáng thạch lấp lánh ánh tím huyền bí, được cho là mảnh vỡ còn lại khi một thiên thạch rơi xuống thung lũng sông Cambrian. \nDùng để nâng cấp kỹ năng của Thể Thức Tỉnh cõi Siêu Chiều."
Item_9756_Name,aGfB,d道具_Item_A.csv,63,Item,Name,,尤卡坦之星,Thiên Thạch Yucatan
Item_9756_Desc,aGfz,d道具_Item_A.csv,63,Item,Desc,,在某些平行宇宙里，它拥有毁天灭地的力量。\n来自遥远热带的完美矿晶，用于提升超维界域唤醒体的技能等级。,"Ở một vũ trụ song song, nó đã hủy diệt cả một hành tinh. \n Là khoáng thạch tinh khiết từ vùng nhiệt đới xa xôi, được sử dụng để nâng cấp kỹ năng của Thể Thức Tỉnh cõi Siêu Chiều."
Item_9776_Name,aGhd,d道具_Item_A.csv,64,Item,Name,,幸运糖果,Kẹo May Mắn
Item_9776_Desc,aGhb,d道具_Item_A.csv,64,Item,Desc,,甜甜的，硬硬的。它们在孩童的絮语间传递，成为友谊的象征，童年的珍藏。\n小孩爱吃的糖果。用以提升唤醒体技能等级。,"Ngọt ngào, hơi cứng, dùng để ngậm. Chúng được truyền qua tay nhau, gắn liền với những lời đàm tiếu của lũ trẻ con. Qua năm tháng, nó đã trở thành biểu tượng của tri kỷ và những kỷ niệm thơ ấu. \nLà loại kẹo mà đứa trẻ nào cũng thích. Dùng để nâng cao cấp độ kỹ năng Thể Thức Tỉnh."
Item_9779_Name,aGhp,d道具_Item_A.csv,65,Item,Name,,蜡像泥坯,Phôi Tượng Sáp
Item_9779_Desc,aGhn,d道具_Item_A.csv,65,Item,Desc,,所有蜡像最初都只是粗糙的坯体。它们不会哭，也不会笑。\n未完的蜡像泥坯。用以提升唤醒体技能等级。,Tất cả bức tượng nến đều xuất phát từ một chiếc phôi thô. Chúng chẳng biết khóc cũng không thể cười.  \nLà một tác phẩm chưa hoàn thành. Dùng để nâng cao cấp độ kỹ năng của Thể Thức Tỉnh.
Item_9778_Name,aGhl,d道具_Item_A.csv,66,Item,Name,,漆黑锁扣,Gông Xích Nhúng Chàm
Item_9778_Desc,aGhj,d道具_Item_A.csv,66,Item,Desc,,吾名希洛，是永不屈从之人。从今往后，我将打破枷锁，踏上旅程。\n漆黑的金属锁扣。用以提升唤醒体技能等级。,"Ta tên là Helot. Và ta sẽ không bao giờ khuất phục. Chính ngày hôm nay, ta sẽ phá vỡ xiềng xích này để tự bước trên hành trình của riêng mình. \n Một chiếc khóa có màu đen. Dùng để nâng cao cấp độ kỹ năng của Thể Thức Tỉnh."
Item_9781_Name,aGhx,d道具_Item_A.csv,67,Item,Name,,维度凝晶,Tinh Thể Đa Chiều
Item_9781_Desc,aGhv,d道具_Item_A.csv,67,Item,Desc,,掉落自名为刻耳柏洛斯的高维生物。以人类当前文明发展程度，尚无法解析其成分。\n神秘的紫色晶体。用以提升唤醒体技能等级。,"Một vật phẩm rơi ra từ sinh vật Siêu Chiều có tên là Cerberus. Với nền khoa học hiện tại, loài người chưa thể phân tích được thành phần của nó. \n Tinh thể óng ánh màu tím huyền bí. Dùng để nâng cao cấp độ kỹ năng Thể Thức Tỉnh."
Item_9780_Name,aGht,d道具_Item_A.csv,68,Item,Name,,虔诚圣心,Trái Tim Thành Kính
Item_9780_Desc,aGhr,d道具_Item_A.csv,68,Item,Desc,,纵使胚胎诞生之刻即是消亡之时，她亦当甘之如饴。\n闪耀着虔诚之心的神秘摆件。用以提升唤醒体技能等级。,"Kể cả khi cái Thánh Phôi ấy sẽ chết khi nó được sinh ra, cô ấy vẫn sẽ vui vẻ đón nhận và âu yếm nó.  \nĐồ trang trí huyền bí với một trái tim thành kính lấp lánh được gắn ở trên. Dùng để nâng cao cấp độ kỹ năng của Thể Thức Tỉnh."
Item_9783_Name,aGhF,d道具_Item_A.csv,69,Item,Name,,圣胎冠冕,Vương Miện Thánh Thai
