Key,ShortKey,Source,Row,Module,Field,Role,CN,EN
Voice_95091_AwakerVoiceContent,bzwX,y语音_Voice_A.csv,2375,Voice,AwakerVoiceContent,波吕克斯,您……您有什么旨意要传达于我吗？您的使徒随时准备聆听您的教诲。,"Do... do you have an order for me, my Light? Your Apostle stands ever-ready to hear your teaching."
AvgDialog_13055_Content_3,aduJ,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,10,AvgDialog,Content,,银钥闪烁，你控制着脑海中那缕不可见的细密银丝，从闪亮的光点之中抽离。,"The Silver Key glints. You guide the invisible, delicate silver thread in your mind, withdrawing it from the shining dot of light."
AvgDialog_13055_Content_7,advu,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,14,AvgDialog,Content,,奥吉尔单膝跪地，失去链接的维系，他不得不用长枪支撑身体，才不至于彻底倒下。,"Ogier sinks to one knee. With the link severed, he must brace himself with his spear to keep from collapsing entirely."
AvgDialog_13055_Content_9,advw,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,16,AvgDialog,Content,,眼角、唇边、耳孔都溢出了浓黑的液体，器官都已经被不定形的漆黑软泥打碎，可想而知少年正承受着怎样的痛苦。,"Thick, black liquid seeps from the corners of his eyes, lips, and ears. His organs are already shattered by amorphous black slime—it's easy to imagine the agony the boy is enduring."
AvgDialog_13055_Content_11,adup,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,18,AvgDialog,Content,,眼见奥吉尔距离失控越来越近，你选择不再等待，猛地握住了他已经覆满黑泥的双手。,"Seeing Ogier teetering closer towards losing control, you decide to wait no longer. You firmly grasp his hands, which now covered in black sludge."
AvgDialog_13055_Content_16,aduu,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,23,AvgDialog,Content,,计时器走了仅仅半圈，在断开链接的情况下，奥吉尔并没能坚持得比上一次训练更久。,"The stopwatch's hand barely passed half of the circle. Without the link, Ogier couldn't hold out any longer than in the previous training session."
AvgDialog_13055_Content_20,aduz,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,27,AvgDialog,Content,,他对授钥仪式那日的异动耿耿于怀，害怕自己有一日也会不受控制，将长枪指向你们——为此，他想要提升自己在无链接状态下维持理智的能力。,"He's been brooding over the anomaly from the day of the Keybestowal Ceremony, fearing that one day he might also lose control and turn his spear against you all. To that end, he wants to enhance his ability to maintain sanity without the link."
AvgDialog_13055_Content_22,aduB,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,29,AvgDialog,Content,玩家,我们已经练了很久了，疲劳训练会适得其反的。,We've trained long enough. Training with fatigue will backfire.
AvgDialog_13055_Content_24,aduD,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,31,AvgDialog,Content,奥吉尔,是我没有考虑周全……,I didn't think that through...
AvgDialog_13055_Content_26,aduF,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,33,AvgDialog,Content,玩家,明天我也没有调查任务，午餐后，不见不散。,"I don't have missions tomorrow either. See you after lunch, same place."
AvgDialog_13055_Content_28,aduH,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,35,AvgDialog,Content,,顶着幼犬兴奋雀跃的目光，你拖着同样疲惫的身躯回到了宿舍。,"Under his exuberant, puppy-like gaze, you drag your equally exhausted body back to the dormitory."
AvgDialog_13055_Content_31,aduL,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,38,AvgDialog,Content,,黑暗中响起陌生的悠扬乐曲，伴着阵阵银杯相击的声音，熙攘而典雅的氛围充斥着梦境。,"A strange, melodious tune rings out in the darkness, accompanied by the clinking of silver goblets. The dream is brimming with a bustling yet elegant atmosphere."
AvgDialog_13055_Content_34,aduO,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,41,AvgDialog,Content,,手探进了一片迷雾中，抓住了一片盛满未知的积雨云，触感真实而虚幻。,"Your hand plunges into a sea of mist, grasping what feels like a rain cloud—a touch both real and illusory."
AvgDialog_13055_Content_42,aduX,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,49,AvgDialog,Content,,还有被她们簇拥着，斜斜躺在软塌上的少女。,"And there, surrounded by them all, is a young girl reclining on a plush chaise."
AvgDialog_13055_Content_43,aduY,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,50,AvgDialog,Content,公主,无伤大雅，别太苛责%heorshe%。为了给各位呈现一场完美的宴会，我的侍官可是忙得一夜都没歇脚。,"It's no matter, don't be too harsh on {Male=him,Female=her}. My attendant has been busy without rest all night to present a perfect banquet for everyone."
AvgDialog_13055_Content_48,advd,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,55,AvgDialog,Content,,身体的本能让你向她行了个礼。在或艳羡或鄙夷的目光中，你穿过贵妇的集群，向更多人聚集的大厅走去。,"Your body bows instinctively. Amidst gazes of both envy and disdain, you weave through the cluster of noblewomen toward the more crowded part of the hall."
AvgDialog_13055_Content_49,adve,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,56,AvgDialog,Content,,你低头看着“自己”的手，肤色比你常年藏在手套下的皮肤要深上几分，处处都留着细微的淡痕，显然不是养尊处优之人。,"You look down at ""your"" hands. The skin tone is a few shades darker than your own, which are usually hidden under gloves. Fine, faint scar marks are littered across—clearly not the hands of someone raised in luxury."
AvgDialog_13055_Content_50,advg,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,57,AvgDialog,Content,,路过的华贵金属花瓶更是印证了不详的猜想——,The ornate gilded vase that you pass on the way further confirms your suspicion—
AvgDialog_13055_Content_51,advh,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,58,AvgDialog,Content,,那上面映出的倒影，并不是你的脸。,The reflection it presents is not your face.
AvgDialog_13055_Content_52,advi,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,59,AvgDialog,Content,侍女,侍官阁下！您是代表公主来的吗？,"{Male=Sir,Female=Miss}! You've come on behalf of the princess?"
AvgDialog_13055_Content_53,advj,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,60,AvgDialog,Content,,从人群中窜出来的侍女，显然比你更加目光如炬，一眼就从嘈杂纷繁的人群中找到了熟悉的“你”。,"A maid darts out from the crowd, her eyes clearly sharper than your own; she spots the familiar ""you"" instantly amidst the bustling throng."
AvgDialog_13055_Content_58,advo,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,65,AvgDialog,Content,侍女,<Small:这么个小孩，要练多久才能成为真正的骑士啊……大公应该只是开玩笑的吧？>,"<Small:How long will it take for a kid like this to become a real knight... The Grand Duke must just be joking, right?>"
Stage_20439_Desc,aROS,g关卡_Stage_A.csv,1789,Stage,Desc,,这是你们之间的秘密，它将烙印在灵魂上，伴随永世。,"This is a secret between the two of you, etched into your souls and carried through eternity."
AvgDialog_13054_Content_3,adsO,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,72,AvgDialog,Content,,在第三次尝试醒来，却只是让眼前光景无端变化了一番后，你终于接受了被困在了奥吉尔记忆中的事实。,"After your third attempt to wake up only to see no changes in the scene before you, you finally accept the truth: you are trapped in Ogier's memories."
AvgDialog_13054_Content_4,adsZ,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,73,AvgDialog,Content,,你站在公主寝殿一角，装出一副聆听者的模样，乖顺地扮演着侍官的角色。,"You stand in a corner of the princess's chamber, holding the appearance of a dutiful listener and meekly playing the role of an attendant."
AvgDialog_13054_Content_6,adtv,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,75,AvgDialog,Content,公主,他竟把父亲的话当了真…他那么年幼，怎么受得了骑士团的训练？,"He actually took Father's words seriously... He's just a kid, how can he possibly endure their training?"
AvgDialog_13054_Content_7,adtG,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,76,AvgDialog,Content,,不…不对……也许还有其他可能性。,No... that's not right... Perhaps there are other possibilities.
AvgDialog_13054_Content_8,adtR,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,77,AvgDialog,Content,,听侍女的描述，奥吉尔正在骑士团接受训练。既然奥吉尔未曾参与这段对话，那么这里是“奥吉尔记忆”的猜想就无法成立了。,"Based on the maid's account, Ogier is currently undergoing training at the Knights' Order. Since Ogier did not participate in this conversation, the hypothesis that this is ""Ogier's memory"" doesn't hold."
AvgDialog_13054_Content_9,aduc,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,78,AvgDialog,Content,,这并不是单纯的“记忆”。或许，你进入的是一段真实发生过的历史，或许，是一段被潜意识补完的梦境？,"This isn't merely a ""memory."" Perhaps you've entered a real, historical event, or maybe it's a dream based on someone's subconscious?"
AvgDialog_13054_Content_15,adsy,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,84,AvgDialog,Content,侍女,原来你还知道疼！我们叫了半天，你像尸体一样一点反应都没有，耳朵是不是出问题了？,"So you know it hurts! We've been calling you for ages, and you just stood there like a statue. Is there something wrong with your ears?"
AvgDialog_13054_Content_16,adsz,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,85,AvgDialog,Content,公主,你最近总是走神，是太累了吧，要不要回家族封地休息一阵子？正好你们已经很久没有过假期了。,You've been spacing out a lot lately. Are you too tired? Would you like to return to your family estate to rest for a while? It's been a long time since you last had a vacation.
AvgDialog_13054_Content_18,adsB,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,87,AvgDialog,Content,,脱离“梦境”的关键肯定在奥吉尔身上，尽管很好奇远离梦境中心的世界会是什么模样，但这个节骨眼，你不能离开太远。,"The key to escaping the ""Dream"" must lie with Ogier. Though you are curious about what the world beyond the center of the dream is like, you couldn't stray too far right now."
AvgDialog_13054_Content_19,adsC,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,88,AvgDialog,Content,侍女,心事？是什么是什么？是不是有喜欢的人了在为此烦恼？,Things on your mind? What is it? Is it that you've fallen for someone and are troubled by it?
AvgDialog_13054_Content_20,adsE,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,89,AvgDialog,Content,侍女,是不是在心烦对方不喜欢你？公主——为我们的侍官阁下占卜一次吧，要不干脆送%heorshe%一剂爱情魔药——,"Are you worried the other person doesn't like you back? Your Highness, why don't you do a little divination for our dear attendant? Or better yet, just give {Male=him,Female=her} a love potion—"
AvgDialog_13054_Content_25,adsJ,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,94,AvgDialog,Content,,瞌睡时公主送来了枕头，给了你名正言顺的理由接近奥吉尔。,Perfect timing—the princess provided you a perfect reason to approach Ogier.
AvgDialog_13054_Content_26,adsK,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,95,AvgDialog,Content,公主,不过如果实在需要魔药的话，还是能来找我要的哦。,"But if you do happen to need a potion, you can still come to me for it."
AvgDialog_13054_Content_29,adsN,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,98,AvgDialog,Content,,兵刃相接的脆响与其他人的叫好声连绵不绝，显然正有人顶着烈日进行对练。,The crisp clang of blades mixed with cheers and jeers rolls across the field like thunder—people are sparring under the scorching sun.
AvgDialog_13054_Content_30,adsP,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,99,AvgDialog,Content,,——只是你没有想到，对练的其中一方，正是奥吉尔。,"You do not expect, however, for one of the sparring parties to be Ogier."
AvgDialog_13054_Content_33,adsS,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,102,AvgDialog,Content,,在绝对的力量悬殊面前，坚持与信念起不到什么作用。成年骑士尚未使出全力，金属共振就让奥吉尔的虎口脱了力。,"In the face of absolute disparity in strength, persistence and determination mean little. The adult knight hasn't even used his full strength, yet the shock of clashing weapons has already caused Ogier to lose the grip in his hands."
AvgDialog_13054_Content_36,adsV,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,105,AvgDialog,Content,围观骑士,"就是啊，你还太小啦。
过两年再来训练吧，你现在连武器都拿不起来。","Yeah, you're still too young.\nCome back for training in a couple of years. You can barely lift a weapon right now."
AvgDialog_13054_Content_38,adsX,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,107,AvgDialog,Content,,奥吉尔浑身颤抖着，弯腰捡起掉落的长枪，吃力地调整准备姿势，将枪尖对准了对练骑士，,"Ogier trembles all over as he bends down to pick up the fallen spear. With great effort, he adjusts his stance, pointing the spear tip at the opposing knight."
AvgDialog_13054_Content_41,adtb,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,110,AvgDialog,Content,,少年的脸因疲惫和缺氧涨得通红，面对这样顽强的意志，本想用训练让奥吉尔知难而退的人才终于发话。,"The boy's face flushes red from exhaustion and lack of oxygen. Seeing his tenacious will, the Commander who intended to force Ogier to give up through training finally speaks."
AvgDialog_13054_Content_47,adth,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,116,AvgDialog,Content,奥吉尔,您同意我加入骑士团了吗？！,You agree to let me join the Knights' Order?!
AvgDialog_13054_Content_52,adtn,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,121,AvgDialog,Content,,团长话音未落，借着难得的轻快氛围，人群中冒出了小小的反抗，年轻的骑士们通过这种方式释放着压力。,"Before the Commander's words even fade, cheeky protest bubbles up from the crowd—the young knights blowing off steam in this light-hearted atmosphere."
AvgDialog_13054_Content_61,adtx,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,130,AvgDialog,Content,玩家,这是公主亲自调配的药物，应该是做过特殊处理的吧。,It's a special formulation from the Princess herself. It must have been specially treated.
AvgDialog_13054_Content_64,adtA,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,133,AvgDialog,Content,奥吉尔,公主的药？！太珍贵了，这怎么能给我用——嘶！,"Her Highness's potion?! This is too precious, how can I use it—Ouch!"
AvgDialog_13054_Content_65,adtB,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,134,AvgDialog,Content,玩家,"别乱动，想浪费公主的仁慈吗。
你先坐下，让我处理完伤口。","Hold still. Do you want to waste her kindness?\nSit down, let me treat your wounds."
AvgDialog_13054_Content_66,adtC,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,135,AvgDialog,Content,,"生怕浪费了珍贵的药物，奥吉尔终于安分地坐了下来。
骑士团其他人也陆续离开了场地，这是难得的好时机。","Afraid of squandering such a rare remedy, Ogier finally sits down quietly.\nThe other knights gradually leave the field, and you realize this is your chance."
AvgDialog_13054_Content_70,adtH,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,139,AvgDialog,Content,奥吉尔,受觐见，被选中，再得到骑士们的承认……真的好像做梦。,"Receiving summons, being chosen, earning the knights' respect... It truly feels like a dream."
AvgDialog_13054_Content_82,adtU,avgV1.0奥吉尔小型支线_AvgDialog_C_M.csv,151,AvgDialog,Content,奥吉尔,"父亲万一去世了，庄园里的人都会被遣散。
大家都还生着病…根本无处可去。","If my father were to pass away, everyone in the manor would be dismissed.\nBut they're still sick... with nowhere else to go."
