Key,ShortKey,Source,Row,Module,Field,Character,CN,EN
Event_69816_ChoiceDesc1,azeb,s事件_Event_A.csv,46,Event,ChoiceDesc1,,【呼唤唤醒体】扣除所有唤醒体 100 狂气，删除 1 张症状卡,[Summon Awakeners] All Awakeners lose 100 Aliemus. Destroy a Symptom Card.
Event_69816_ChoiceDesc2,azec,s事件_Event_A.csv,46,Event,ChoiceDesc2,,【吸收血池】提高 Arg1 点最大生命，感染2张「(Skill.Arg2)」,"[Drink the Blood] Increase Max HP by Arg1, but develop ""(Skill.Arg2)"" twice."
Event_69816_ChoiceDesc3,azed,s事件_Event_A.csv,46,Event,ChoiceDesc3,,【插入银钥匙】清空所有银钥能量,[Harness Silver Key] Lose all Keyflare.
Event_57738_ChoiceDesc1,axNL,s事件_Event_A.csv,51,Event,ChoiceDesc1,,【硬闯】所有唤醒体获得 30 点狂气，但将两张「(Skill.Arg1)」塞入卡组,"[Forceful Entry] All Awakeners gain 30 Aliemus, but shuffle two ""(Skill.Arg1)"" cards into the deck."
Event_57738_ChoiceDesc2,axNM,s事件_Event_A.csv,51,Event,ChoiceDesc2,,【缴械】下一场战斗敌人生命提高 60%，伤害提高 30%。,[Disarm] Enemies in the next battle have 60% more HP and deal 30% more Damage.
Event_57738_ChoiceDesc3,axNN,s事件_Event_A.csv,51,Event,ChoiceDesc3,,【伏击】消耗所有唤醒体狂气，获得 30 黑印并移除守卫威胁。,[Ambush] All Awakeners lose all Aliemus; acquire 30 Black Sigils; remove Guard Threat.
Event_57738_Tips3,axNU,s事件_Event_A.csv,51,Event,Tips3,,当前所有唤醒体没有狂气,None of the Awakeners currently possess Aliemus. No Awakeners have Aliemus.
Event_57776_ChoiceDesc2,axOk,s事件_Event_A.csv,56,Event,ChoiceDesc2,,【诈降】探索完该区域后，传送至羁押点，获得 2 张随机「症状」。,"[Feign Surrender] After exploring this area, teleport to the Detention Point and develop two random Symptoms."
Event_7586_Desc,aCaI,s事件_Event_A.csv,64,Event,Desc,,拉伊特产，活蹦乱跳的母鸡，美食的诱惑。,"Rye Specialty: Lively Hen, a Culinary Temptation The Rye Specialty: Lively Hen, a culinary temptation!"
Event_6908_ChoiceDesc1,ayMz,s事件_Event_A.csv,67,Event,ChoiceDesc1,,【解开上方的枝节】,[Untangle the Upper Branch]
Event_6908_ChoiceDesc2,ayMA,s事件_Event_A.csv,67,Event,ChoiceDesc2,,【解开下方的枝节】,[Untangle the Lower Branch]
Event_7283_Desc,aAvE,s事件_Event_A.csv,69,Event,Desc,,一种近水银态的银色物质，由融蚀黏液中提炼而出，蕴含强大精神力，主要用于在仪式中链接更多唤醒体。,"A near-mercury-like silver substance, refined from D-Slime, containing strong mental power, used to link more Awakeners in rituals A near-mercury-like silver substance, refined from D-Slime, containing strong mental power, used to link more Awakeners in rituals."
Event_7283_ChoiceDesc1,aAvz,s事件_Event_A.csv,69,Event,ChoiceDesc1,,【收入囊中】,[Take It]
Event_7504_ChoiceDesc1,aBHH,s事件_Event_A.csv,70,Event,ChoiceDesc1,,【收入囊中】,[Take It]
Event_7457_ChoiceDesc1,aBwP,s事件_Event_A.csv,71,Event,ChoiceDesc1,,【收入囊中】,[Take It]
Event_7172_Desc,azWI,s事件_Event_A.csv,72,Event,Desc,,一种近水银态的银色物质，由融蚀黏液中提炼而出，蕴含强大精神力，主要用于在仪式中链接更多唤醒体。,"A near-mercury-like silver substance, refined from D-Slime, containing strong mental power, used to link more Awakeners in rituals A near-mercury-like silver substance, refined from D-Slime, containing strong mental power, used to link more Awakeners in rituals."
Event_7172_ChoiceDesc1,azWD,s事件_Event_A.csv,72,Event,ChoiceDesc1,,【收入囊中】,[Take It]
Event_7053_Desc,azuY,s事件_Event_A.csv,73,Event,Desc,,一种近水银态的银色物质，由融蚀黏液中提炼而出，蕴含强大精神力，主要用于在仪式中链接更多唤醒体。,"A near-mercury-like silver substance, refined from D-Slime, containing strong mental power, used to link more Awakeners in rituals A near-mercury-like silver substance, refined from D-Slime, containing strong mental power, used to link more Awakeners in rituals."
Event_7053_ChoiceDesc1,azuT,s事件_Event_A.csv,73,Event,ChoiceDesc1,,【收入囊中】,[Take It]
Event_6885_Desc,ayHo,s事件_Event_A.csv,74,Event,Desc,,一种近水银态的银色物质，由融蚀黏液中提炼而出，蕴含强大精神力，主要用于在仪式中链接更多唤醒体。,"A near-mercury-like silver substance, refined from D-Slime, containing strong mental power, used to link more Awakeners in rituals A near-mercury-like silver substance, refined from D-Slime, containing strong mental power, used to link more Awakeners in rituals."
Event_6885_ChoiceDesc1,ayHj,s事件_Event_A.csv,74,Event,ChoiceDesc1,,【收入囊中】,[Take It]
Event_6817_ChoiceDesc1,ayrz,s事件_Event_A.csv,76,Event,ChoiceDesc1,,【适可而止】获得3选1刻印,[Stop Here] Engrave 1 out of 3 Orisons
Event_6817_ChoiceDesc2,ayrA,s事件_Event_A.csv,76,Event,ChoiceDesc2,,【坚持阅读】随机1张指令卡获得高级刻印：「(EnchantConfig.Arg1)」，感染「(Skill.Arg2)」,"[Keep Reading] Engrave the Orison ""(EnchantConfig.Arg1)"" on a random Command card, but develop ""(Skill.Arg2)""."
Event_7157_ChoiceDesc1,azTf,s事件_Event_A.csv,79,Event,ChoiceDesc1,,【把钱包还给我！】获得3选1刻印,[Give Me My Wallet Back!] Engrave 1 out of 3 Orisons
Event_7157_ChoiceDesc2,azTg,s事件_Event_A.csv,79,Event,ChoiceDesc2,,【犹豫】随机1张指令卡获得高级刻印：「(EnchantConfig.Arg1)」，感染「(Skill.Arg2)」,"[Hesitate] Engrave the Orison ""(EnchantConfig.Arg1)"" on a random Command card, but develop ""(Skill.Arg2)""."
Event_7573_ChoiceDesc1,aBXD,s事件_Event_A.csv,82,Event,ChoiceDesc1,,【仔细看看】获得3选1刻印,[Look Closely] Engrave 1 out of 3 Orisons
Event_7573_ChoiceDesc2,aBXE,s事件_Event_A.csv,82,Event,ChoiceDesc2,,【撕下海报】随机1张指令卡获得高级刻印：「(EnchantConfig.Arg1)」，感染「(Skill.Arg2)」,"[Rip Poster] Engrave the Orison ""(EnchantConfig.Arg1)"" on a random Command card, but develop ""(Skill.Arg2)""."
Event_80474_ChoiceDesc1,bskS,s事件_Event_A.csv,85,Event,ChoiceDesc1,,【无视它】获得3选1刻印,[Ignore It] Engrave 1 out of 3 Orisons
Event_80474_ChoiceDesc2,bskT,s事件_Event_A.csv,85,Event,ChoiceDesc2,,【碰触它】随机1张指令卡获得高级刻印：「(EnchantConfig.Arg1)」，感染「(Skill.Arg2)」,"[Touch it] Engrave the Orison ""(EnchantConfig.Arg1)"" on a random Command card, but develop ""(Skill.Arg2)""."
Event_7401_ChoiceDesc1,aAWL,s事件_Event_A.csv,88,Event,ChoiceDesc1,,【说自己没有钱包】获得3选1刻印,[I've Got No Wallet] Engrave 1 out of 3 Orisons
Event_7401_ChoiceDesc2,aAWM,s事件_Event_A.csv,88,Event,ChoiceDesc2,,【将网打破】随机1张指令卡获得高级刻印：「(EnchantConfig.Arg1)」，感染「(Skill.Arg2)」,"[Break the Net] Engrave the Orison ""(EnchantConfig.Arg1)"" on a random Command card, but develop ""(Skill.Arg2)""."
Event_7391_ChoiceDesc1,aAUv,s事件_Event_A.csv,91,Event,ChoiceDesc1,,【寻找源头】获得白银造物「(RelicConfig.Arg1)」，感染「(Skill.Arg2)」,"[Seek the Source] Acquire the Silver Relic ""(RelicConfig.Arg1)"", but develop ""(Skill.Arg2)""."
Event_7391_ChoiceDesc2,aAUw,s事件_Event_A.csv,91,Event,ChoiceDesc2,,【重播唱片】所有唤醒体回复50狂气，感染「(Skill.Arg1)」,"[Replay Record] All Awakeners gain 50 Aliemus, but you develop ""(Skill.Arg1)""."
Event_7391_ChoiceDesc3,aAUx,s事件_Event_A.csv,91,Event,ChoiceDesc3,,【拆掉留声机】获得3选1刻印,[Dismantle the Phonograph] Engrave 1 out of 3 Orisons
Event_74174_ChoiceDesc1,aBhD,s事件_Event_A.csv,95,Event,ChoiceDesc1,,【寻找声源】获得白银造物「(RelicConfig.Arg1)」，感染「(Skill.Arg2)」,"[Locate the Source] Acquire the Silver Relic ""(RelicConfig.Arg1)"", but develop ""(Skill.Arg2)""."
Event_74174_ChoiceDesc2,aBhE,s事件_Event_A.csv,95,Event,ChoiceDesc2,,【回忆】所有唤醒体回复50狂气，感染「(Skill.Arg1)」,"[Reminisce] All Awakeners gain 50 Aliemus, but you develop ""(Skill.Arg1)""."
Event_74174_ChoiceDesc3,aBhF,s事件_Event_A.csv,95,Event,ChoiceDesc3,,【无视噪音】获得3选1刻印,[Ignore Noise] Engrave 1 out of 3 Orisons
Event_7601_ChoiceDesc1,aCeb,s事件_Event_A.csv,99,Event,ChoiceDesc1,,【华丽的赋格】获得白银造物「(RelicConfig.Arg1)」，感染「(Skill.Arg2)」,"[Graceful Fugue] Acquire the Silver Relic ""(RelicConfig.Arg1)"", but develop ""(Skill.Arg2)""."
Event_7601_ChoiceDesc2,aCec,s事件_Event_A.csv,99,Event,ChoiceDesc2,,【简单的小夜曲】所有唤醒体回复50狂气，感染「(Skill.Arg1)」,"[Simple Serenade] All Awakeners gain 50 Aliemus, but you develop ""(Skill.Arg1)""."
Event_7601_ChoiceDesc3,aCed,s事件_Event_A.csv,99,Event,ChoiceDesc3,,【毫无意义的噪音】获得3选1刻印,[Meaningless Noise] Engrave 1 out of 3 Orisons
Event_7048_Desc,aztQ,s事件_Event_A.csv,103,Event,Desc,,「你知道吗？」在拉蒙娜搜寻神秘人的身影时，一个声音突然响起，像是谁在悄声议论，「你知道那个事儿吗？那个大事儿？」,"""Did you know?"" As Ramona searched for the mysterious figure, a voice suddenly whispered, ""Do you know about that matter? That major matter?"" ""Did you know?"" As Ramona searched for the mysterious figure, a voice suddenly whispered, ""Do you know about that matter? That terribly important matter?"""
Event_7048_ChoiceDesc1,aztL,s事件_Event_A.csv,103,Event,ChoiceDesc1,,【侧耳倾听】获得白银造物「(RelicConfig.Arg1)」，感染「(Skill.Arg2)」,"[Listen Closely] Acquire the Silver Relic ""(RelicConfig.Arg1)"", but develop ""(Skill.Arg2)""."
Event_7048_ChoiceDesc2,aztM,s事件_Event_A.csv,103,Event,ChoiceDesc2,,【上前查看】所有唤醒体回复50狂气，感染「(Skill.Arg1)」,"[Inspect] All Awakeners gain 50 Aliemus, but you develop ""(Skill.Arg1)""."
Event_7048_ChoiceDesc3,aztN,s事件_Event_A.csv,103,Event,ChoiceDesc3,,【直接离开】获得3选1刻印,[Leave Directly] Engrave 1 out of 3 Orisons
Event_7569_ChoiceDesc1,aBWH,s事件_Event_A.csv,107,Event,ChoiceDesc1,,【观察它】可以获得25黑印,[Observe It] 100% chance to get 25 Black Sigils
Event_7569_ChoiceDesc2,aBWI,s事件_Event_A.csv,107,Event,ChoiceDesc2,,【抚摸它】50%机会获得50黑印，50%机会一无所有,"[Pet It] 50% chance to get 50 Black Sigils, 50% chance to get nothing."
Event_6944_ChoiceDesc1,ayUP,s事件_Event_A.csv,108,Event,ChoiceDesc1,,【观察它】可以获得25黑印,[Observe It] 100% chance to get 25 Black Sigils
Event_6944_ChoiceDesc2,ayUQ,s事件_Event_A.csv,108,Event,ChoiceDesc2,,【抚摸它】50%机会获得50黑印，50%机会一无所有,"[Pet It] 50% chance to get 50 Black Sigils, 50% chance to get nothing."
Event_7353_ChoiceDesc1,aALH,s事件_Event_A.csv,109,Event,ChoiceDesc1,,【离开】获得25黑印,[Leave] Acquire 25 Black Sigils
Event_7340_ChoiceDesc1,aAIH,s事件_Event_A.csv,110,Event,ChoiceDesc1,,【离开】获得50黑印,[Leave] Acquire 50 Black Sigils
Event_7615_ChoiceDesc1,aChn,s事件_Event_A.csv,112,Event,ChoiceDesc1,,【守口如瓶】获得25黑印,[Keep Silent] 100% chance to get 25 Black Sigils
Event_7615_ChoiceDesc2,aCho,s事件_Event_A.csv,112,Event,ChoiceDesc2,,【伸手触碰】50%机会获得50黑印，50%机会一无所有,"[Reach Out and Touch] 50% chance to get 50 Black Sigils, 50% chance to get nothing."
Event_7332_ChoiceDesc1,aAGP,s事件_Event_A.csv,113,Event,ChoiceDesc1,,【守口如瓶】获得25黑印,[Keep Silent] 100% chance to get 25 Black Sigils
Event_7332_ChoiceDesc2,aAGQ,s事件_Event_A.csv,113,Event,ChoiceDesc2,,【伸手触碰】50%机会获得50黑印，50%机会一无所有,"[Reach Out and Touch] 50% chance to get 50 Black Sigils, 50% chance to get nothing."
Event_7262_ChoiceDesc1,aAqH,s事件_Event_A.csv,114,Event,ChoiceDesc1,,【离开】,[Leave] Acquire 25 Black Sigils
Event_7298_Desc,aAzc,s事件_Event_A.csv,115,Event,Desc,,你将一根手指抵在唇角，示意自己将为此事噤声。\n黑猫幻影般一闪而过，在你脚边留下了黑亮的馈赠。,"You place a finger to your lips, signaling silence.\nA black cat flashes by like a phantasm, leaving a dark gift at your feet You place a finger to your lips, signaling silence.\nThe black cat flashes by like a phantasm, leaving a dark gift at your feet."
Event_7298_ChoiceDesc1,aAyX,s事件_Event_A.csv,115,Event,ChoiceDesc1,,【离开】获得50黑印,[Leave] Acquire 50 Black Sigils
Event_59623_ChoiceDesc1,aycz,s事件_Event_A.csv,117,Event,ChoiceDesc1,,【亲近】获得25黑印,[Approach] 100% chance to get 25 Black Sigils
Event_59623_ChoiceDesc2,aycA,s事件_Event_A.csv,117,Event,ChoiceDesc2,,【注视】50%机会获得50黑印，50%机会一无所有,"[Gaze] 50% chance to get 50 Black Sigils, 50% chance to get nothing."
Event_59627_ChoiceDesc1,aydv,s事件_Event_A.csv,118,Event,ChoiceDesc1,,【亲近】获得25黑印,[Approach] 100% chance to get 25 Black Sigils
Event_59627_ChoiceDesc2,aydw,s事件_Event_A.csv,118,Event,ChoiceDesc2,,【注视】50%机会获得50黑印，50%机会一无所有,"[Gaze] 50% chance to get 50 Black Sigils, 50% chance to get nothing."
Event_59612_ChoiceDesc1,axZX,s事件_Event_A.csv,119,Event,ChoiceDesc1,,【离开】,[Leave] Acquire 25 Black Sigils
Event_59632_ChoiceDesc1,ayeD,s事件_Event_A.csv,120,Event,ChoiceDesc1,,【离开】获得50黑印,[Leave] Acquire 50 Black Sigils
Event_7125_ChoiceDesc1,azLL,s事件_Event_A.csv,122,Event,ChoiceDesc1,,【上前握住】获得25黑印,[Step Forward and Grip] 100% chance to get 25 Black Sigils
Event_7125_ChoiceDesc2,azLM,s事件_Event_A.csv,122,Event,ChoiceDesc2,,【友好回应】50%机会获得50黑印，50%机会一无所有,"[Friendly Response] 50% chance to get 50 Black Sigils, 50% chance to get nothing."
Event_6855_ChoiceDesc1,ayAn,s事件_Event_A.csv,123,Event,ChoiceDesc1,,【上前握住】获得25黑印,[Step Forward and Grip] 100% chance to get 25 Black Sigils
Event_6855_ChoiceDesc2,ayAo,s事件_Event_A.csv,123,Event,ChoiceDesc2,,【友好回应】50%机会获得50黑印，50%机会一无所有,"[Friendly Response] 50% chance to get 50 Black Sigils, 50% chance to get nothing."
Event_6914_Desc,ayNY,s事件_Event_A.csv,124,Event,Desc,,猫满意地点点头，随即化作一道阴影原地消散，留下了几个黑色的圆形物件。,"The cat nodded in satisfaction, then vanished into a shadow, leaving behind several black circular objects The cat nodded in satisfaction, then vanished into a shadow, leaving behind several black circular objects."
Event_6914_ChoiceDesc1,ayNT,s事件_Event_A.csv,124,Event,ChoiceDesc1,,【离开】获得25黑印,[Leave] Acquire 25 Black Sigils
Event_6967_Desc,azak,s事件_Event_A.csv,125,Event,Desc,,猫满意地点点头，随即化作一道阴影原地消散，留下了几个黑色的圆形物件。,"The cat nodded in satisfaction, then vanished into a shadow, leaving behind several black circular objects The cat nodded in satisfaction, then vanished into a shadow, leaving behind several black circular objects."
Event_6967_ChoiceDesc1,azaf,s事件_Event_A.csv,125,Event,ChoiceDesc1,,【离开】获得50黑印,[Leave] Acquire 50 Black Sigils
Event_74169_ChoiceDesc1,aBgj,s事件_Event_A.csv,127,Event,ChoiceDesc1,,【保持距离】获得25黑印,[Maintain Distance] Acquire 25 Black Sigils
Event_74169_ChoiceDesc2,aBgk,s事件_Event_A.csv,127,Event,ChoiceDesc2,,【施以怜悯】获得白银造物「(RelicConfig.Arg1)」，感染「(Skill.Arg2)」,"[Show Mercy] Acquire the Silver Relic ""(RelicConfig.Arg1)"", but develop ""(Skill.Arg2)""."
Event_7390_ChoiceDesc1,aAUj,s事件_Event_A.csv,130,Event,ChoiceDesc1,,【原地不动】获得25黑印,[Stand Still] Acquire 25 Black Sigils
Event_7390_ChoiceDesc2,aAUk,s事件_Event_A.csv,130,Event,ChoiceDesc2,,【随意走动】获得白银造物「(RelicConfig.Arg1)」，感染「(Skill.Arg2)」,"[Walk Casually] Acquire the Silver Relic ""(RelicConfig.Arg1)"", but develop ""(Skill.Arg2)""."
Event_6943_ChoiceDesc1,ayUD,s事件_Event_A.csv,133,Event,ChoiceDesc1,,【转身】获得25黑印,[Turn Around] Acquire 25 Black Sigils
Event_6943_ChoiceDesc2,ayUE,s事件_Event_A.csv,133,Event,ChoiceDesc2,,【继续前行】获得白银造物「(RelicConfig.Arg1)」，感染「(Skill.Arg2)」,"[Keep Going] Acquire the Silver Relic ""(RelicConfig.Arg1)"", but develop ""(Skill.Arg2)""."
Event_7381_ChoiceDesc1,aASf,s事件_Event_A.csv,136,Event,ChoiceDesc1,,【转身】获得25黑印,[Turn Around] Acquire 25 Black Sigils
Event_7381_ChoiceDesc2,aASg,s事件_Event_A.csv,136,Event,ChoiceDesc2,,【继续前行】获得白银造物「(RelicConfig.Arg1)」，感染「(Skill.Arg2)」,"[Keep Going] Acquire the Silver Relic ""(RelicConfig.Arg1)"", but develop ""(Skill.Arg2)""."
Event_6921_ChoiceDesc1,ayPz,s事件_Event_A.csv,139,Event,ChoiceDesc1,,【低头看】获得25黑印,[Lower Gaze] Acquire 25 Black Sigils
Event_6921_ChoiceDesc2,ayPA,s事件_Event_A.csv,139,Event,ChoiceDesc2,,【我一定要找到】获得白银造物「(RelicConfig.Arg1)」，感染「(Skill.Arg2)」,"[I Must Find It] Acquire the Silver Relic ""(RelicConfig.Arg1)"", but develop ""(Skill.Arg2)""."
Event_59583_ChoiceDesc1,axTn,s事件_Event_A.csv,142,Event,ChoiceDesc1,,【说服】获得25黑印,[Persuade] Acquire 25 Black Sigils
Event_59583_ChoiceDesc2,axTo,s事件_Event_A.csv,142,Event,ChoiceDesc2,,【质问】获得白银造物「(RelicConfig.Arg1)」，感染「(Skill.Arg2)」,"[Question] Acquire the Silver Relic ""(RelicConfig.Arg1)"", but develop ""(Skill.Arg2)""."
Event_7338_ChoiceDesc1,aAIj,s事件_Event_A.csv,145,Event,ChoiceDesc1,,【俯瞰倒影】获得25黑印,[Overlook Reflection] Acquire 25 Black Sigils
Event_7338_ChoiceDesc2,aAIk,s事件_Event_A.csv,145,Event,ChoiceDesc2,,【你还好吗？】获得白银造物「(RelicConfig.Arg1)」，感染「(Skill.Arg2)」,"[Are You Okay?] Acquire the Silver Relic ""(RelicConfig.Arg1)"", but develop ""(Skill.Arg2)""."
Event_35903_ChoiceDesc1,awEf,s事件_Event_A.csv,148,Event,ChoiceDesc1,,【触碰银光】获得25黑印,[Touch the Silver Light] Acquire 25 Black Sigils
Event_35903_ChoiceDesc2,awEg,s事件_Event_A.csv,148,Event,ChoiceDesc2,,【与银光对话】获得白银造物「(RelicConfig.Arg1)」，感染「(Skill.Arg2)」,"[Talk to Silverlight] Acquire the Silver Relic ""(RelicConfig.Arg1)"", but develop ""(Skill.Arg2)""."
Event_50293_ChoiceDesc1,axEX,s事件_Event_A.csv,151,Event,ChoiceDesc1,,【安心】获得25黑印,[Calm] Acquire 25 Black Sigils
Event_50293_ChoiceDesc2,axEY,s事件_Event_A.csv,151,Event,ChoiceDesc2,,【担忧】获得白银造物「(RelicConfig.Arg1)」，感染「(Skill.Arg2)」,"[Worry] Acquire the Silver Relic ""(RelicConfig.Arg1)"", but develop ""(Skill.Arg2)""."
Event_7393_ChoiceDesc1,aAUT,s事件_Event_A.csv,154,Event,ChoiceDesc1,,【暂停音乐】将1个白银造物升级为黄金造物「(RelicConfig.Arg1)」,"[Pause Music] Upgrade a Silver Relic into the Golden Relic ""(RelicConfig.Arg1)"""
Event_7393_ChoiceDesc2,aAUU,s事件_Event_A.csv,154,Event,ChoiceDesc2,,【与它对话】获得黄金造物「(RelicConfig.Arg1)」，感染「(Skill.Arg2)」以及「(Skill.Arg3)」,"[Talking with It] Acquire the Golden Relic ""(RelicConfig.Arg1)"", but develop ""(Skill.Arg2)"" and ""(Skill.Arg3)""."
Event_7393_ChoiceDesc3,aAUV,s事件_Event_A.csv,154,Event,ChoiceDesc3,,【静心聆听】获得25黑印,[Listen Quietly] Acquire 25 Black Sigils
Event_59610_ChoiceDesc1,axZz,s事件_Event_A.csv,158,Event,ChoiceDesc1,,【捕捉星星】将1个白银造物升级为黄金造物「(RelicConfig.Arg1)」,"[Catch the Stars] Upgrade a Silver Relic into the Golden Relic ""(RelicConfig.Arg1)"""
Event_59610_ChoiceDesc2,axZA,s事件_Event_A.csv,158,Event,ChoiceDesc2,,【捏碎星星】获得黄金造物「(RelicConfig.Arg1)」，感染「(Skill.Arg2)」以及「(Skill.Arg3)」,"[Crush the Stars] Acquire the Golden Relic ""(RelicConfig.Arg1)"", but develop ""(Skill.Arg2)"" and ""(Skill.Arg3)""."
Event_59610_ChoiceDesc3,axZB,s事件_Event_A.csv,158,Event,ChoiceDesc3,,【沉默观看】获得25黑印,[Silent Watch] Acquire 25 Black Sigils
Event_7112_ChoiceDesc1,azIL,s事件_Event_A.csv,162,Event,ChoiceDesc1,,【使用银芯】将1个白银造物升级为黄金造物「(RelicConfig.Arg1)」,"[Use Silver] Upgrade a Silver Relic into the Golden Relic ""(RelicConfig.Arg1)"""
Event_7112_ChoiceDesc2,azIM,s事件_Event_A.csv,162,Event,ChoiceDesc2,,【收起银芯】获得黄金造物「(RelicConfig.Arg1)」，感染「(Skill.Arg2)」以及「(Skill.Arg3)」,"[Store Silver] Acquire the Golden Relic ""(RelicConfig.Arg1)"", but develop ""(Skill.Arg2)"" and ""(Skill.Arg3)""."
Event_7112_ChoiceDesc3,azIN,s事件_Event_A.csv,162,Event,ChoiceDesc3,,【放回抽屉】获得25黑印,[Put Back in Drawer] Acquire 25 Black Sigils
Event_7448_ChoiceDesc1,aBuL,s事件_Event_A.csv,166,Event,ChoiceDesc1,,【收集起来】将1个白银造物升级为黄金造物「(RelicConfig.Arg1)」,"[Collect] Upgrade a Silver Relic into the Golden Relic ""(RelicConfig.Arg1)"""
